/* DATA DESCRIPTION:
Citation:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2009): (Supplement 2) EDC gas chronologies for the different scenarios 1 to 4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.711012
Related to:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2007): New constraints on the gas age-ice age difference along the EPICA ice cores, 0-50 kyr. Climate of the Past, 3, 527-540, https://doi.org/10.5194/cp-3-527-2007
	Parrenin, Frédéric; Barnola, Jean-Marc; Beer, Jürg; Blunier, Thomas; Castellano, Emiliano; Chappellaz, Jérôme A; Dreyfus, Gabrielle; Fischer, Hubertus; Fujita, Shuji; Jouzel, Jean; Kawamura, Kenji; Lemieux-Dudon, Bénédicte; Loulergue, Laetitia; Masson-Delmotte, Valerie; Narcisi, Biancamaria; Petit, Jean Robert; Raisbeck, Grant M; Raynaud, Dominique; Ruth, Urs; Schwander, Jakob; Severi, Mirko; Spahni, Renato; Steffensen, Jørgen Peder; Svensson, Anders M; Udisti, Roberto; Waelbroeck, Claire; Wolff, Eric William (2007): The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3, 485-497, https://doi.org/10.5194/cp-3-485-2007
Other version:	Zip archive of supplements [dataset]. https://cp.copernicus.org/articles/3/527/2007/cp-3-527-2007-supplement.zip
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 96.25 m * MAXIMUM DEPTH, ice/snow: 3256.55 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Scenario 4 is defined as the EDC3_gas_a age scale, official gas chronology for EDC that can be used for the moment, waiting on a better one. Ice chronology is EDC3 (Parrenin et al., Climate of the Past, 3, 485-497, 2007).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * COMMENT: based on EDC3 time scale
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 1
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 2
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 3
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 4, EDC3_gas_a age scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	28722 data points
*/
Depth ice/snow [m]	Age model [ka] (based on EDC3 time scale)	Gas age [ka BP] (Scenario 1)	Gas age [ka BP] (Scenario 2)	Gas age [ka BP] (Scenario 3)	Gas age [ka BP] (Scenario 4, EDC3_gas_a age scale)
1046.10	69.204	63.635	63.881	63.635	64.723
1046.65	69.268	63.695	63.943	63.695	64.787
1047.20	69.332	63.759	64.010	63.759	64.854
1047.75	69.394	63.830	64.084	63.830	64.926
1048.30	69.450	63.884	64.143	63.885	64.983
1048.85	69.511	63.935	64.198	63.936	65.038
1049.40	69.573	64.011	64.274	64.012	65.113
1049.95	69.632	64.094	64.354	64.095	65.192
1050.50	69.686	64.153	64.414	64.154	65.250
1051.05	69.741	64.213	64.474	64.214	65.309
1051.60	69.796	64.264	64.526	64.264	65.361
1052.15	69.854	64.322	64.585	64.322	65.419
1052.70	69.913	64.390	64.653	64.391	65.487
1053.25	69.969	64.456	64.718	64.457	65.553
1053.80	70.025	64.519	64.782	64.520	65.616
1054.35	70.081	64.587	64.850	64.588	65.684
1054.90	70.137	64.660	64.922	64.661	65.755
1055.45	70.190	64.716	64.978	64.717	65.811
1056.00	70.241	64.768	65.031	64.768	65.863
1056.55	70.296	64.843	65.107	64.843	65.936
1057.10	70.347	64.912	65.177	64.912	66.003
1057.65	70.399	64.976	65.244	64.977	66.065
1058.20	70.450	65.046	65.314	65.047	66.130
1058.75	70.500	65.121	65.388	65.122	66.197
1059.30	70.546	65.189	65.455	65.190	66.255
1059.85	70.594	65.254	65.520	65.255	66.312
1060.40	70.641	65.325	65.591	65.326	66.371
1060.95	70.688	65.397	65.663	65.398	66.433
1061.50	70.733	65.457	65.726	65.458	66.485
1062.05	70.779	65.518	65.788	65.519	66.538
1062.60	70.826	65.582	65.853	65.582	66.595
1063.15	70.873	65.640	65.912	65.640	66.648
1063.70	70.922	65.685	65.959	65.685	66.690
1064.25	70.976	65.752	66.026	65.752	66.751
1064.80	71.030	65.839	66.109	65.839	66.827
1065.35	71.078	65.907	66.175	65.907	66.888
1065.90	71.130	65.971	66.237	65.972	66.946
1066.45	71.182	66.042	66.303	66.043	67.010
1067.00	71.231	66.114	66.370	66.115	67.074
1067.55	71.280	66.168	66.423	66.169	67.126
1068.10	71.330	66.223	66.478	66.224	67.179
1068.65	71.383	66.287	66.543	66.288	67.241
1069.20	71.438	66.355	66.611	66.356	67.305
1069.75	71.491	66.425	66.683	66.426	67.372
1070.30	71.544	66.491	66.750	66.491	67.434
1070.85	71.592	66.549	66.809	66.549	67.488
1071.40	71.645	66.614	66.875	66.615	67.549
1071.95	71.697	66.681	66.942	66.682	67.612
1072.50	71.750	66.745	67.006	66.746	67.673
1073.05	71.804	66.811	67.072	66.812	67.735
1073.60	71.857	66.877	67.136	66.877	67.796
1074.15	71.910	66.942	67.200	66.942	67.856
1074.70	71.964	67.007	67.264	67.007	67.918
1075.25	72.019	67.069	67.326	67.070	67.979
1075.80	72.074	67.129	67.385	67.130	68.038
1076.35	72.132	67.196	67.450	67.197	68.103
1076.90	72.187	67.263	67.514	67.264	68.166
1077.45	72.244	67.321	67.572	67.321	68.222
1078.00	72.301	67.376	67.628	67.376	68.276
1078.55	72.363	67.444	67.696	67.445	68.343
1079.10	72.426	67.514	67.764	67.515	68.411
1079.65	72.486	67.579	67.828	67.580	68.475
1080.20	72.547	67.646	67.893	67.647	68.542
1080.75	72.608	67.717	67.964	67.718	68.614
1081.30	72.669	67.789	68.034	67.789	68.686
1081.85	72.727	67.858	68.104	67.858	68.758
1082.40	72.785	67.929	68.170	67.929	68.831
1082.95	72.843	68.000	68.236	68.000	68.904
1083.50	72.899	68.066	68.297	68.066	68.971
1084.05	72.956	68.132	68.359	68.132	69.037
1084.60	73.012	68.204	68.431	68.205	69.110
1085.15	73.066	68.274	68.500	68.275	69.180
1085.70	73.119	68.341	68.570	68.342	69.246
1086.25	73.172	68.404	68.635	68.404	69.306
1086.80	73.225	68.463	68.697	68.464	69.361
1087.35	73.281	68.529	68.764	68.530	69.420
1087.90	73.333	68.595	68.830	68.595	69.478
1088.45	73.387	68.659	68.894	68.659	69.532
1089.00	73.440	68.720	68.956	68.720	69.583
1089.55	73.495	68.800	69.031	68.800	69.647
1090.10	73.545	68.873	69.098	68.874	69.705
1090.65	73.598	68.950	69.168	68.951	69.767
1091.20	73.650	69.021	69.232	69.022	69.826
1091.75	73.701	69.087	69.292	69.087	69.880
1092.30	73.752	69.154	69.353	69.154	69.935
1092.85	73.804	69.223	69.418	69.224	69.992
1093.40	73.854	69.302	69.489	69.303	70.057
1093.95	73.903	69.382	69.562	69.382	70.123
1094.50	73.947	69.431	69.610	69.432	70.165
1095.05	73.994	69.481	69.659	69.482	70.208
1095.60	74.042	69.544	69.721	69.545	70.260
1096.15	74.090	69.606	69.783	69.607	70.311
1096.70	74.135	69.662	69.838	69.663	70.357
1097.25	74.183	69.720	69.894	69.720	70.403
1097.80	74.228	69.773	69.945	69.773	70.444
1098.35	74.274	69.831	70.000	69.831	70.490
1098.90	74.322	69.892	70.057	69.893	70.539
1099.45	74.368	69.948	70.112	69.949	70.585
1100.00	74.414	70.004	70.165	70.004	70.630
1100.55	74.459	70.071	70.229	70.072	70.687
1101.10	74.503	70.134	70.288	70.135	70.739
1101.65	74.543	70.180	70.332	70.181	70.780
1102.20	74.587	70.227	70.378	70.228	70.823
1102.75	74.630	70.270	70.420	70.271	70.865
1103.30	74.674	70.314	70.464	70.315	70.909
1103.85	74.721	70.361	70.510	70.361	70.956
1104.40	74.768	70.406	70.556	70.407	71.003
1104.95	74.816	70.451	70.601	70.452	71.049
1105.50	74.864	70.496	70.648	70.497	71.095
1106.05	74.913	70.541	70.695	70.542	71.142
1106.60	74.962	70.586	70.743	70.586	71.190
1107.15	75.011	70.632	70.792	70.632	71.240
1107.70	75.063	70.684	70.848	70.684	71.296
1108.25	75.114	70.737	70.903	70.737	71.351
1108.80	75.165	70.789	70.958	70.790	71.405
1109.35	75.215	70.841	71.010	70.841	71.457
1109.90	75.265	70.892	71.060	70.893	71.508
1110.45	75.316	70.940	71.109	70.941	71.558
1111.00	75.368	70.988	71.158	70.988	71.608
1111.55	75.421	71.043	71.215	71.043	71.667
1112.10	75.474	71.097	71.271	71.098	71.725
1112.65	75.527	71.147	71.323	71.148	71.779
1113.20	75.582	71.197	71.376	71.198	71.835
1113.75	75.636	71.247	71.426	71.248	71.890
1114.30	75.693	71.298	71.478	71.299	71.948
1114.85	75.749	71.346	71.527	71.347	72.003
1115.40	75.808	71.403	71.584	71.404	72.068
1115.95	75.868	71.462	71.645	71.463	72.136
1116.50	75.926	71.525	71.708	71.526	72.206
1117.05	75.982	71.585	71.769	71.586	72.274
1117.60	76.038	71.650	71.835	71.651	72.344
1118.15	76.091	71.709	71.895	71.710	72.409
1118.70	76.144	71.757	71.945	71.758	72.463
1119.25	76.202	71.818	72.008	71.819	72.527
1119.80	76.258	71.886	72.077	71.887	72.596
1120.35	76.312	71.949	72.140	71.949	72.658
1120.90	76.365	72.008	72.200	72.008	72.717
1121.45	76.419	72.076	72.267	72.076	72.782
1122.00	76.478	72.149	72.339	72.150	72.852
1122.55	76.531	72.212	72.400	72.213	72.909
1123.10	76.587	72.276	72.462	72.277	72.966
1123.65	76.639	72.331	72.516	72.332	73.016
1124.20	76.692	72.390	72.571	72.390	73.068
1124.75	76.749	72.455	72.632	72.455	73.129
1125.30	76.806	72.520	72.692	72.520	73.188
1125.85	76.861	72.583	72.752	72.584	73.246
1126.40	76.916	72.650	72.816	72.651	73.308
1126.95	76.969	72.716	72.879	72.717	73.369
1127.50	77.021	72.774	72.934	72.775	73.423
1128.05	77.073	72.832	72.989	72.833	73.476
1128.60	77.125	72.895	73.049	72.896	73.533
1129.15	77.179	72.957	73.108	72.958	73.589
1129.70	77.229	73.008	73.159	73.009	73.635
1130.25	77.281	73.062	73.213	73.063	73.684
1130.80	77.332	73.118	73.268	73.119	73.733
1131.35	77.382	73.166	73.315	73.166	73.774
1131.90	77.435	73.211	73.360	73.211	73.814
1132.45	77.492	73.270	73.416	73.270	73.865
1133.00	77.546	73.329	73.471	73.329	73.914
1133.55	77.601	73.377	73.516	73.377	73.958
1134.10	77.658	73.427	73.565	73.427	74.004
1134.65	77.715	73.484	73.619	73.484	74.056
1135.20	77.771	73.538	73.671	73.538	74.106
1135.75	77.825	73.588	73.719	73.589	74.153
1136.30	77.880	73.639	73.767	73.639	74.201
1136.85	77.935	73.689	73.815	73.689	74.249
1137.40	77.989	73.739	73.864	73.739	74.297
1137.95	78.041	73.785	73.910	73.786	74.342
1138.50	78.094	73.835	73.960	73.835	74.390
1139.05	78.149	73.885	74.010	73.885	74.439
1139.60	78.200	73.920	74.047	73.920	74.475
1140.15	78.252	73.960	74.088	73.960	74.517
1140.70	78.310	74.018	74.146	74.018	74.575
1141.25	78.364	74.070	74.198	74.071	74.630
1141.80	78.415	74.116	74.244	74.117	74.679
1142.35	78.465	74.161	74.288	74.161	74.727
1142.90	78.518	74.206	74.333	74.206	74.777
1143.45	78.570	74.254	74.381	74.255	74.830
1144.00	78.620	74.301	74.428	74.302	74.882
1144.55	78.670	74.352	74.480	74.353	74.939
1145.10	78.719	74.400	74.530	74.401	74.993
1145.65	78.767	74.437	74.571	74.437	75.036
1146.20	78.817	74.479	74.617	74.479	75.084
1146.75	78.868	74.528	74.671	74.529	75.139
1147.30	78.919	74.574	74.720	74.575	75.191
1147.85	78.969	74.617	74.766	74.618	75.239
1148.40	79.022	74.672	74.823	74.673	75.299
1148.95	79.076	74.733	74.886	74.734	75.364
1149.50	79.127	74.786	74.940	74.787	75.421
1150.05	79.178	74.839	74.995	74.840	75.478
1150.60	79.228	74.896	75.052	74.897	75.537
1151.15	79.280	74.955	75.110	74.956	75.599
1151.70	79.327	75.009	75.165	75.010	75.656
1152.25	79.374	75.059	75.217	75.060	75.710
1152.80	79.421	75.108	75.268	75.109	75.761
1153.35	79.470	75.157	75.320	75.158	75.812
1153.90	79.520	75.207	75.372	75.208	75.862
1154.45	79.571	75.264	75.430	75.265	75.916
1155.00	79.621	75.322	75.489	75.322	75.969
1155.55	79.670	75.396	75.563	75.397	76.037
1156.10	79.716	75.464	75.631	75.465	76.100
1156.65	79.762	75.511	75.681	75.512	76.144
1157.20	79.810	75.563	75.734	75.563	76.192
1157.75	79.860	75.620	75.790	75.620	76.243
1158.30	79.910	75.681	75.848	75.681	76.297
1158.85	79.961	75.745	75.909	75.746	76.353
1159.40	80.011	75.809	75.970	75.810	76.409
1159.95	80.059	75.872	76.030	75.873	76.464
1160.50	80.107	75.939	76.095	75.940	76.526
1161.05	80.153	76.004	76.159	76.005	76.586
1161.60	80.198	76.050	76.205	76.051	76.631
1162.15	80.249	76.104	76.259	76.105	76.684
1162.70	80.297	76.162	76.316	76.163	76.738
1163.25	80.346	76.221	76.373	76.222	76.793
1163.80	80.392	76.273	76.425	76.274	76.842
1164.35	80.440	76.328	76.479	76.329	76.894
1164.90	80.489	76.386	76.537	76.387	76.947
1165.45	80.537	76.443	76.595	76.444	77.000
1166.00	80.586	76.500	76.653	76.501	77.053
1166.55	80.633	76.560	76.712	76.561	77.107
1167.10	80.679	76.618	76.769	76.619	77.159
1167.65	80.726	76.675	76.824	76.675	77.211
1168.20	80.774	76.731	76.878	76.731	77.264
1168.75	80.821	76.783	76.929	76.783	77.315
1169.30	80.869	76.837	76.982	76.838	77.369
1169.85	80.918	76.893	77.036	76.894	77.426
1170.40	80.966	76.946	77.089	76.947	77.481
1170.95	81.016	76.999	77.142	76.999	77.536
1171.50	81.065	77.051	77.196	77.052	77.591
1172.05	81.114	77.103	77.250	77.104	77.645
1172.60	81.164	77.161	77.308	77.162	77.702
1173.15	81.215	77.222	77.370	77.223	77.762
1173.70	81.264	77.290	77.437	77.291	77.826
1174.25	81.310	77.350	77.497	77.351	77.882
1174.80	81.355	77.403	77.550	77.404	77.930
1175.35	81.401	77.456	77.603	77.457	77.980
1175.90	81.450	77.513	77.659	77.514	78.032
1176.45	81.499	77.578	77.721	77.579	78.091
1177.00	81.545	77.642	77.782	77.643	78.148
1177.55	81.591	77.696	77.835	77.698	78.198
1178.10	81.637	77.753	77.892	77.755	78.250
1178.65	81.683	77.823	77.958	77.824	78.310
1179.20	81.725	77.883	78.015	77.884	78.362
1179.75	81.767	77.936	78.068	77.938	78.410
1180.30	81.810	77.989	78.120	77.991	78.458
1180.85	81.855	78.042	78.173	78.044	78.506
1181.40	81.899	78.090	78.221	78.091	78.550
1181.95	81.943	78.136	78.266	78.137	78.592
1182.50	81.992	78.195	78.322	78.196	78.645
1183.05	82.037	78.251	78.376	78.252	78.696
1183.60	82.084	78.307	78.431	78.308	78.748
1184.15	82.128	78.362	78.484	78.363	78.798
1184.70	82.174	78.421	78.541	78.422	78.853
1185.25	82.218	78.481	78.599	78.482	78.908
1185.80	82.261	78.541	78.657	78.542	78.963
1186.35	82.303	78.593	78.709	78.594	79.011
1186.90	82.343	78.640	78.757	78.641	79.054
1187.45	82.386	78.691	78.808	78.692	79.100
1188.00	82.427	78.741	78.858	78.742	79.144
1188.55	82.469	78.796	78.912	78.797	79.195
1189.10	82.512	78.850	78.964	78.851	79.244
1189.65	82.554	78.897	79.011	78.898	79.287
1190.20	82.599	78.951	79.063	78.952	79.337
1190.75	82.642	79.013	79.123	79.014	79.395
1191.30	82.680	79.062	79.171	79.063	79.442
1191.85	82.721	79.109	79.218	79.110	79.487
1192.40	82.763	79.157	79.266	79.158	79.534
1192.95	82.804	79.206	79.315	79.207	79.580
1193.50	82.846	79.254	79.364	79.255	79.624
1194.05	82.889	79.303	79.415	79.304	79.670
1194.60	82.932	79.357	79.469	79.358	79.718
1195.15	82.974	79.411	79.522	79.412	79.767
1195.70	83.016	79.469	79.576	79.469	79.819
1196.25	83.057	79.526	79.631	79.526	79.871
1196.80	83.098	79.582	79.685	79.582	79.922
1197.35	83.137	79.632	79.735	79.633	79.967
1197.90	83.176	79.680	79.784	79.681	80.010
1198.45	83.216	79.732	79.836	79.733	80.056
1199.00	83.255	79.786	79.889	79.787	80.103
1199.55	83.294	79.828	79.930	79.829	80.141
1200.10	83.333	79.870	79.972	79.871	80.180
1200.65	83.375	79.919	80.020	79.920	80.226
1201.20	83.417	79.968	80.068	79.969	80.273
1201.75	83.460	80.017	80.116	80.018	80.321
1202.30	83.503	80.064	80.164	80.065	80.367
1202.85	83.545	80.107	80.208	80.108	80.410
1203.40	83.589	80.160	80.261	80.161	80.462
1203.95	83.632	80.214	80.314	80.215	80.513
1204.50	83.675	80.270	80.370	80.271	80.567
1205.05	83.716	80.324	80.423	80.325	80.618
1205.60	83.756	80.361	80.461	80.362	80.654
1206.15	83.796	80.402	80.501	80.402	80.693
1206.70	83.843	80.457	80.556	80.457	80.747
1207.25	83.885	80.511	80.608	80.511	80.799
1207.80	83.929	80.567	80.663	80.567	80.853
1208.35	83.970	80.613	80.710	80.614	80.899
1208.90	84.012	80.656	80.754	80.657	80.942
1209.45	84.054	80.702	80.800	80.703	80.987
1210.00	84.097	80.750	80.848	80.751	81.034
1210.55	84.142	80.796	80.894	80.797	81.080
1211.10	84.184	80.842	80.939	80.843	81.124
1211.65	84.231	80.898	80.994	80.898	81.178
1212.20	84.276	80.951	81.046	80.952	81.229
1212.75	84.322	81.004	81.097	81.005	81.278
1213.30	84.367	81.057	81.147	81.057	81.328
1213.85	84.411	81.108	81.197	81.108	81.378
1214.40	84.455	81.156	81.244	81.157	81.424
1214.95	84.500	81.204	81.291	81.205	81.472
1215.50	84.544	81.256	81.342	81.256	81.520
1216.05	84.589	81.307	81.392	81.307	81.570
1216.60	84.632	81.355	81.438	81.355	81.614
1217.15	84.674	81.399	81.482	81.399	81.656
1217.70	84.719	81.438	81.521	81.438	81.695
1218.25	84.765	81.484	81.566	81.485	81.741
1218.80	84.813	81.538	81.618	81.539	81.795
1219.35	84.858	81.579	81.658	81.580	81.838
1219.90	84.903	81.613	81.693	81.614	81.875
1220.45	84.951	81.663	81.743	81.664	81.927
1221.00	84.999	81.715	81.795	81.716	81.982
1221.55	85.046	81.756	81.837	81.757	82.024
1222.10	85.093	81.801	81.883	81.802	82.070
1222.65	85.142	81.864	81.942	81.865	82.128
1223.20	85.188	81.915	81.992	81.915	82.175
1223.75	85.229	81.947	82.024	81.947	82.205
1224.30	85.276	81.988	82.064	81.988	82.245
1224.85	85.324	82.035	82.109	82.035	82.291
1225.40	85.371	82.076	82.150	82.076	82.333
1225.95	85.419	82.116	82.189	82.117	82.373
1226.50	85.468	82.159	82.232	82.160	82.417
1227.05	85.515	82.201	82.273	82.202	82.460
1227.60	85.564	82.242	82.315	82.243	82.504
1228.15	85.613	82.286	82.359	82.287	82.550
1228.70	85.662	82.330	82.403	82.331	82.595
1229.25	85.710	82.371	82.443	82.372	82.638
1229.80	85.759	82.408	82.480	82.408	82.677
1230.35	85.810	82.448	82.521	82.449	82.720
1230.90	85.861	82.491	82.564	82.492	82.765
1231.45	85.911	82.537	82.610	82.538	82.814
1232.00	85.962	82.584	82.656	82.584	82.864
1232.55	86.010	82.623	82.696	82.623	82.905
1233.10	86.059	82.662	82.736	82.663	82.945
1233.65	86.108	82.700	82.775	82.701	82.984
1234.20	86.157	82.739	82.814	82.740	83.023
1234.75	86.208	82.782	82.856	82.782	83.067
1235.30	86.260	82.825	82.899	82.825	83.110
1235.85	86.311	82.867	82.940	82.867	83.153
1236.40	86.362	82.904	82.978	82.905	83.193
1236.95	86.413	82.940	83.014	82.941	83.233
1237.50	86.466	82.978	83.052	82.978	83.276
1238.05	86.519	83.016	83.090	83.016	83.320
1238.60	86.574	83.053	83.128	83.053	83.364
1239.15	86.630	83.094	83.170	83.094	83.411
1239.70	86.686	83.141	83.219	83.142	83.463
1240.25	86.735	83.180	83.259	83.181	83.507
1240.80	86.790	83.220	83.300	83.220	83.551
1241.35	86.844	83.262	83.344	83.262	83.597
1241.90	86.899	83.307	83.390	83.308	83.645
1242.45	86.952	83.347	83.430	83.348	83.690
1243.00	87.008	83.390	83.473	83.390	83.738
1243.55	87.063	83.421	83.505	83.421	83.774
1244.10	87.121	83.454	83.540	83.455	83.814
1244.65	87.182	83.490	83.577	83.491	83.857
1245.20	87.246	83.536	83.623	83.537	83.910
1245.75	87.310	83.593	83.680	83.594	83.973
1246.30	87.368	83.638	83.725	83.639	84.024
1246.85	87.423	83.673	83.763	83.674	84.066
1247.40	87.481	83.716	83.806	83.717	84.115
1247.95	87.541	83.763	83.853	83.764	84.167
1248.50	87.599	83.811	83.901	83.812	84.221
1249.05	87.658	83.859	83.950	83.860	84.275
1249.60	87.714	83.898	83.992	83.899	84.319
1250.15	87.774	83.941	84.036	83.942	84.366
1250.70	87.831	83.982	84.078	83.982	84.410
1251.25	87.891	84.030	84.127	84.030	84.460
1251.80	87.949	84.082	84.178	84.082	84.512
1252.35	88.004	84.129	84.224	84.129	84.561
1252.90	88.059	84.173	84.268	84.174	84.609
1253.45	88.114	84.213	84.308	84.213	84.653
1254.00	88.172	84.254	84.350	84.254	84.699
1254.55	88.230	84.296	84.393	84.296	84.747
1255.10	88.286	84.337	84.435	84.338	84.794
1255.65	88.346	84.387	84.485	84.388	84.849
1256.20	88.401	84.431	84.530	84.432	84.898
1256.75	88.459	84.474	84.575	84.475	84.947
1257.30	88.518	84.520	84.623	84.521	84.998
1257.85	88.574	84.566	84.670	84.567	85.046
1258.40	88.631	84.616	84.720	84.617	85.097
1258.95	88.688	84.668	84.773	84.669	85.150
1259.50	88.742	84.716	84.822	84.717	85.200
1260.05	88.794	84.762	84.870	84.763	85.248
1260.60	88.847	84.811	84.919	84.812	85.298
1261.15	88.899	84.856	84.965	84.857	85.346
1261.70	88.952	84.899	85.007	84.900	85.392
1262.25	89.005	84.941	85.050	84.942	85.439
1262.80	89.062	84.987	85.096	84.988	85.489
1263.35	89.119	85.033	85.144	85.034	85.540
1263.90	89.174	85.078	85.192	85.079	85.589
1264.45	89.230	85.137	85.251	85.138	85.649
1265.00	89.286	85.198	85.313	85.199	85.712
1265.55	89.336	85.243	85.361	85.244	85.758
1266.10	89.387	85.290	85.409	85.291	85.805
1266.65	89.438	85.340	85.459	85.341	85.855
1267.20	89.489	85.387	85.506	85.388	85.901
1267.75	89.540	85.429	85.550	85.430	85.945
1268.30	89.592	85.475	85.597	85.476	85.992
1268.85	89.650	85.527	85.650	85.528	86.046
1269.40	89.705	85.583	85.707	85.584	86.102
1269.95	89.757	85.636	85.761	85.637	86.156
1270.50	89.808	85.684	85.810	85.685	86.205
1271.05	89.861	85.734	85.861	85.735	86.256
1271.60	89.913	85.798	85.924	85.799	86.321
1272.15	89.963	85.854	85.980	85.855	86.379
1272.70	90.012	85.895	86.023	85.896	86.423
1273.25	90.062	85.939	86.070	85.940	86.471
1273.80	90.115	85.989	86.122	85.990	86.524
1274.35	90.168	86.043	86.177	86.044	86.579
1274.90	90.222	86.099	86.234	86.100	86.636
1275.45	90.274	86.144	86.282	86.145	86.681
1276.00	90.324	86.184	86.326	86.185	86.723
1276.55	90.380	86.248	86.390	86.249	86.787
1277.10	90.436	86.309	86.452	86.310	86.848
1277.65	90.489	86.357	86.502	86.358	86.899
1278.20	90.540	86.403	86.549	86.404	86.948
1278.75	90.600	86.459	86.605	86.460	87.010
1279.30	90.660	86.517	86.663	86.519	87.075
1279.85	90.719	86.578	86.724	86.580	87.142
1280.40	90.777	86.641	86.787	86.642	87.207
1280.95	90.833	86.703	86.849	86.704	87.271
1281.50	90.888	86.766	86.914	86.767	87.334
1282.05	90.939	86.825	86.974	86.826	87.393
1282.60	90.991	86.877	87.031	86.879	87.446
1283.15	91.046	86.933	87.091	86.935	87.501
1283.70	91.101	86.993	87.150	86.994	87.556
1284.25	91.156	87.052	87.208	87.053	87.612
1284.80	91.213	87.116	87.268	87.117	87.672
1285.35	91.270	87.179	87.329	87.180	87.732
1285.90	91.328	87.242	87.391	87.243	87.794
1286.45	91.385	87.296	87.444	87.297	87.847
1287.00	91.441	87.347	87.495	87.348	87.898
1287.55	91.500	87.429	87.572	87.430	87.974
1288.10	91.550	87.497	87.637	87.498	88.038
1288.65	91.602	87.544	87.687	87.545	88.087
1289.20	91.657	87.597	87.741	87.598	88.142
1289.75	91.714	87.659	87.802	87.660	88.204
1290.30	91.771	87.721	87.863	87.722	88.265
1290.85	91.825	87.781	87.921	87.783	88.323
1291.40	91.880	87.846	87.985	87.848	88.386
1291.95	91.935	87.913	88.051	87.915	88.450
1292.50	91.987	87.968	88.107	87.969	88.503
1293.05	92.040	88.024	88.163	88.025	88.557
1293.60	92.094	88.080	88.219	88.081	88.609
1294.15	92.148	88.137	88.275	88.138	88.662
1294.70	92.204	88.196	88.333	88.197	88.716
1295.25	92.260	88.260	88.394	88.262	88.775
1295.80	92.315	88.328	88.460	88.330	88.838
1296.35	92.368	88.387	88.517	88.389	88.893
1296.90	92.418	88.441	88.569	88.442	88.943
1297.45	92.471	88.499	88.626	88.500	89.000
1298.00	92.525	88.560	88.685	88.561	89.059
1298.55	92.577	88.620	88.744	88.621	89.117
1299.10	92.629	88.678	88.801	88.679	89.172
1299.65	92.679	88.726	88.850	88.728	89.217
1300.20	92.734	88.781	88.906	88.783	89.270
1300.75	92.786	88.837	88.963	88.839	89.322
1301.30	92.838	88.893	89.019	88.895	89.374
1301.85	92.889	88.949	89.073	88.950	89.426
1302.40	92.941	88.996	89.120	88.998	89.473
1302.95	92.995	89.044	89.167	89.045	89.520
1303.50	93.051	89.105	89.225	89.106	89.579
1304.05	93.104	89.161	89.279	89.162	89.635
1304.60	93.157	89.212	89.331	89.213	89.686
1305.15	93.211	89.267	89.387	89.268	89.740
1305.70	93.264	89.331	89.451	89.332	89.801
1306.25	93.315	89.388	89.510	89.389	89.856
1306.80	93.364	89.440	89.562	89.441	89.904
1307.35	93.414	89.490	89.613	89.492	89.952
