/* DATA DESCRIPTION:
Citation:	Fischer, Hubertus; Fundel, Felix; Ruth, Urs; Twarloh, Birthe; Wegner, Anna; Udisti, Roberto; Becagli, Silvia; Castellano, Emiliano; Morganti, Andrea; Severi, Mirko; Wolff, Eric William; Littot, Geneviève C; Röthlisberger, Regine; Mulvaney, Robert; Hutterli, Manuel A; Kaufmann, Patrik R; Federer, Urs; Lambert, Fabrice; Bigler, Christian; Hansson, Margareta E; Jonsell, Ulf; de Angelis, Martine; Boutron, Claude F; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Barbante, Carlo; Gaspari, Vania; Gabrielli, Paolo; Wagenbach, Dietmar (2007): EPICA Dome C chemical concentrations and fluxes [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.683641, 
	In supplement to: Fischer, Hubertus; Fundel, Felix; Ruth, Urs; Twarloh, Birthe; Wegner, Anna; Udisti, Roberto; Becagli, Silvia; Castellano, Emiliano; Morganti, Andrea; Severi, Mirko; Wolff, Eric William; Littot, Geneviève C; Röthlisberger, Regine; Mulvaney, Robert; Hutterli, Manuel A; Kaufmann, Patrik R; Federer, Urs; Lambert, Fabrice; Bigler, Matthias; Hansson, Margareta E; Jonsell, Ulf; de Angelis, Martine; Boutron, Claude F; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Barbante, Carlo; Gaspari, Vania; Gabrielli, Paolo; Wagenbach, Dietmar (2007): Reconstruction of millennial changes in dust emission, transport and regional sea ice coverage using the deep EPICA ice cores from the Atlantic and Indian Ocean sector of Antarctica. Earth and Planetary Science Letters, 260(1-2), 340-354, https://doi.org/10.1016/j.epsl.2007.06.014
Related to:	Fischer, Hubertus; Fundel, Felix; Ruth, Urs; Twarloh, Birthe; Wegner, Anna; Udisti, Roberto; Becagli, Silvia; Castellano, Emiliano; Morganti, Andrea; Severi, Mirko; Wolff, Eric William; Littot, Geneviève C; Röthlisberger, Regine; Mulvaney, Robert; Hutterli, Manuel A; Kaufmann, Patrik R; Federer, Urs; Lambert, Fabrice; Bigler, Matthias; Hansson, Margareta E; Jonsell, Ulf; de Angelis, Martine; Boutron, Claude F; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Barbante, Carlo; Gaspari, Vania; Gabrielli, Paolo; Wagenbach, Dietmar (2007): Erratum to "Reconstruction of millennial changes in dust emission, transport and regional sea ice coverage using the deep EPICA ice cores from the Atlantic and Indian Ocean sector of Antarctica" [Earth Planet. Sci. Lett. 260 (2007) 340–354]. Earth and Planetary Science Letters, 262(3-4), 635-636, https://doi.org/10.1016/j.epsl.2007.08.016
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 24.5 m * MAXIMUM DEPTH, ice/snow: 1841.5 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Sea salt Na+ and nss Ca2+ data from the EPICA Dome C (EDC) ice core over the last 150000 yr in 1 m resolution (revised version). Data has been calculated from raw data as described in the manuscript. Negative concentrations after correcting for crustal sodium and sea salt calcium, respectively, have been replaced by zeros. Missing values occur due to sample loss, bad core quality or contamination during sample preparation.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Sodium, sea-salt [µg/kg] (ssNa+) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Ion chromatography
	Calcium, non-sea-salt [µg/kg] (nssCa2+) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Continuous flow analysis, Ion chromatography
	Sodium, sea-salt, flux [µg/m**2/a] (ssNa flux) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Calculated
	Calcium, non-sea-salt, flux [µg/m**2/a] (nssCa2+ flux) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8558 data points
*/
Depth ice/snow [m]	Age model [ka]	ssNa+ [µg/kg]	nssCa2+ [µg/kg]	ssNa flux [µg/m**2/a]	nssCa2+ flux [µg/m**2/a]
344.5	11.08545	13.50	0.37	392.1	10.8
345.5	11.12027	15.17	0.33	426.3	9.3
346.5	11.15655	15.26	0.42	433.0	12.0
347.5	11.18917	17.11	0.18	546.6	5.7
348.5	11.22098	13.26	0.29	402.4	8.9
349.5	11.25440	14.73	0.76	434.7	22.4
350.5	11.28855	12.59	0.83	372.5	24.5
351.5	11.32047	15.75	0.69	514.3	22.5
352.5	11.35198	13.03	0.68	390.4	20.5
353.5	11.38635	18.04	0.59	517.3	16.9
354.5	11.42160	16.78	0.62	485.9	17.8
355.5	11.45436	12.54	0.92	397.1	29.1
356.5	11.48555	11.78	0.75	381.7	24.3
357.5	11.51618	13.71	0.57	427.5	17.8
358.5	11.55049	17.53	0.67	498.4	19.0
359.5	11.58584	15.14	1.03	426.9	29.1
360.5	11.62078				
361.5	11.65410	14.28	1.10	430.1	33.3
362.5	11.68718	13.64	0.91	412.4	27.5
363.5	11.72102	10.84	1.01	313.9	29.1
364.5	11.75532	14.50	0.83	427.7	24.6
365.5	11.78960	20.65	0.95	575.1	26.4
366.5	11.82775	20.93	1.12	537.7	28.9
367.5	11.86655	22.81	0.77	590.2	19.9
368.5	11.90527	20.39	0.95	526.6	24.5
369.5	11.94526	27.42	0.63	663.8	15.3
370.5	11.98572	23.61	1.01	609.8	26.1
371.5	12.02457	26.99	1.00	675.6	24.9
372.5	12.06563	24.29	1.09	582.6	26.1
373.5	12.10811	31.18	0.80	709.2	18.3
374.5	12.15384	22.18	1.07	491.3	23.6
375.5	12.19812	25.05	0.78	586.2	18.2
376.5	12.23962	22.48	1.05	542.7	25.3
377.5	12.28215	26.34	0.91	601.3	20.8
378.5	12.32846	34.24	1.10	722.0	23.3
379.5	12.37589	30.90	1.10	658.2	23.4
380.5	12.42271	33.39	1.04	727.8	22.7
381.5	12.46799	27.48	1.35	602.1	29.5
382.5	12.51553	41.92	0.98	850.5	19.9
383.5	12.56729	30.31	1.74	577.2	33.2
384.5	12.61991	39.39	1.58	760.3	30.6
385.5	12.67091	36.31	2.40	733.7	48.5
386.5	12.71997	35.15	1.81	720.9	37.1
387.5	12.77062	34.23	2.20	655.2	42.0
388.5	12.82295	34.32	1.61	680.7	32.0
389.5	12.87226	20.25	1.95	418.6	40.3
390.5	12.92157	35.56	1.52	710.2	30.4
391.5	12.97312	39.63	1.74	784.0	34.5
392.5	13.02243	35.31	1.83	729.5	37.9
393.5	13.07154	39.36	1.77	788.3	35.5
394.5	13.12306	35.99	1.91	710.5	37.7
395.5	13.17281	36.74	1.29	775.9	27.3
396.5	13.21959	35.88	1.60	754.7	33.7
397.5	13.26773	31.95	2.00	685.7	42.9
398.5	13.31464	35.56	1.49	747.9	31.3
399.5	13.36440	38.28	1.54	742.5	30.0
400.5	13.41716	37.64	1.86	735.6	36.4
401.5	13.46779	32.80	1.51	666.4	30.7
402.5	13.51536	31.37	1.40	686.9	30.6
403.5	13.56264	41.11	1.32	845.8	27.2
404.5	13.61352	38.51	1.57	746.5	30.5
405.5	13.66619	34.82	1.95	674.8	37.8
406.5	13.71712	39.65	1.70	795.5	34.1
407.5	13.76769	28.61	2.68	588.6	55.2
408.5	13.81532	44.34	1.59	946.1	33.9
409.5	13.86316	41.71	2.19	858.9	45.0
410.5	13.91299	38.04	2.87	792.0	59.8
411.5	13.95987	24.34	2.81	557.4	64.4
412.5	14.00244	27.51	2.49	629.8	57.1
413.5	14.04864	35.05	2.34	748.9	49.9
414.5	14.09671	28.61	2.47	616.2	53.1
415.5	14.14235	28.05	1.80	639.2	41.1
416.5	14.18637	26.82	1.88	606.8	42.5
417.5	14.23192	35.00	1.88	839.1	45.0
418.5	14.27076	25.98	1.85	673.4	48.0
419.5	14.31147	27.95	1.80	680.9	43.9
420.5	14.35367	26.60	2.45	620.6	57.2
421.5	14.39991	41.85	1.54	887.6	32.8
422.5	14.44642	33.88	1.65	762.4	37.1
423.5	14.49344	38.42	2.16	799.9	44.9
424.5	14.54173	34.70	2.16	727.6	45.3
425.5	14.59114	38.72	2.86	770.8	56.9
426.5	14.64389	37.69	2.66	725.1	51.2
427.5	14.69546	32.26	3.06	644.0	61.1
428.5	14.74631	34.03	4.81	701.7	99.2
429.5	14.79407	30.17	3.79	639.7	80.3
430.5	14.84240	39.56	3.23	832.1	68.0
431.5	14.89151	47.28	2.75	945.1	54.9
432.5	14.94259	37.02	2.93	784.3	62.0
433.5	14.98959	39.42	3.10	796.6	62.6
434.5	15.04225	44.32	2.90	884.1	57.8
435.5	15.09237	41.06	3.73	834.2	75.8
436.5	15.14275	31.72	4.63	631.8	92.2
437.5	15.19507	43.54	4.37	823.2	82.6
438.5	15.25055	41.05	4.62	742.2	83.5
439.5	15.30708	48.51	4.41	873.9	79.5
440.5	15.36367	35.69	5.38	644.9	97.3
441.5	15.41903	36.39	5.04	686.6	95.1
442.5	15.47339	40.77	4.79	748.7	88.0
443.5	15.52951	43.73	5.15	789.9	93.0
444.5	15.58680	41.19	5.23	740.4	94.0
445.5	15.64195	44.35	8.79	823.8	163.3
446.5	15.69750	51.30	4.63	940.9	85.0
447.5	15.75374	43.36	6.99	774.4	124.9
448.5	15.81192	67.53	6.89	1174.6	119.8
449.5	15.87056	45.95	8.88	798.9	154.3
450.5	15.93008	60.17	9.61	1029.6	164.4
451.5	15.99077	46.09	17.26	755.7	283.0
452.5	16.05384	55.76	8.62	921.8	142.5
453.5	16.11398	46.76	11.41	804.2	196.2
454.5	16.17412	52.38	11.53	868.7	191.1
455.5	16.23724	14.77	12.37	238.9	200.0
456.5	16.29919	54.76	13.16	906.1	217.8
457.5	16.36261	59.56	10.55	957.0	169.6
458.5	16.42714	61.20	12.19	945.3	188.3
459.5	16.49529	67.00	12.45	1007.1	187.1
460.5	16.56257	51.83	13.14	797.2	202.1
461.5	16.62985	72.95	13.62	1077.6	201.2
462.5	16.70147	56.99	17.73	814.4	253.4
463.5	16.77357	67.76	16.12	951.7	226.4
464.5	16.84821	56.08	17.91	768.7	245.5
465.5	16.92140	62.23	19.13	889.9	273.6
466.5	16.99305	68.81	20.12	995.0	291.0
467.5	17.06620	62.71	25.29	878.4	354.2
468.5	17.14035	79.84	21.96	1067.2	293.5
469.5	17.21730	75.10	30.85	1004.8	412.8
470.5	17.29452	86.35	27.59	1144.4	365.7
471.5	17.37390	73.85	32.77	929.2	412.3
472.5	17.45711	82.11	32.67	1017.1	404.6
473.5	17.54097	53.11	41.87	685.5	540.3
474.5	17.61824	82.00	40.63	1055.1	522.9
475.5	17.69981	75.14	34.90	959.5	445.7
476.5	17.78068	75.40	36.80	942.5	460.1
477.5	17.86518	77.65	35.68	947.3	435.3
478.5	17.94853	77.30	33.37	975.7	421.2
479.5	18.02942	81.54	36.28	1042.5	463.9
480.5	18.11136	68.88	38.14	858.7	475.4
481.5	18.19458	78.95	50.15	980.8	623.0
482.5	18.27830	67.16	40.14	823.0	491.9
483.5	18.36542	90.27	36.44	1118.7	451.6
484.5	18.44528	66.54	38.86	855.2	499.5
485.5	18.52710	69.93	36.40	866.0	450.7
486.5	18.61117	72.81	37.42	900.9	463.0
487.5	18.69447	79.73	41.86	997.8	523.9
488.5	18.77737	91.96	44.69	1144.4	556.2
489.5	18.86203	73.43	41.08	903.9	505.6
490.5	18.94443	70.62	39.23	872.3	484.6
491.5	19.03147	73.42	35.05	898.1	428.7
492.5	19.11408	80.23	39.25	1007.2	492.8
493.5	19.19603	65.48	47.56	872.6	633.8
494.5	19.27601	79.53	43.66	996.8	547.3
495.5	19.36038	67.22	36.43	819.0	443.8
496.5	19.44551	87.28	32.21	1053.8	388.9
497.5	19.53301	78.60	37.86	931.9	448.8
498.5	19.62077	74.88	47.90	884.7	565.9
499.5	19.70846	74.38	45.98	920.1	568.8
500.5	19.78953	63.11	36.66	820.1	476.3
501.5	19.87239	91.26	48.14	1095.0	577.6
502.5	19.96151	69.54	45.49	828.6	542.0
503.5	20.04687	77.76	37.80	968.6	470.9
504.5	20.13016	64.31	33.27	807.4	417.8
505.5	20.21457	89.89	43.02	1103.5	528.2
506.5	20.30007	61.01	56.50	737.4	682.9
507.5	20.38778	74.94	37.73	885.2	445.7
508.5	20.47517	68.35	36.20	853.5	452.0
509.5	20.55760	75.90	41.89	949.9	524.2
510.5	20.64332	95.30	39.04	1148.7	470.5
511.5	20.73074	71.25	46.88	878.1	577.7
512.5	20.81472	76.45	42.38	940.9	521.7
513.5	20.90053	80.58	37.02	981.0	450.7
514.5	20.98792	85.46	38.37	1016.8	456.6
515.5	21.07505	73.31	49.03	903.1	604.0
516.5	21.15884	68.57	60.85	861.2	764.3
517.5	21.24580	80.32	43.01	944.0	505.5
518.5	21.33358	79.61	43.49	1003.7	548.3
519.5	21.41440	86.60	35.26	1112.8	453.0
520.5	21.49991	78.33	46.55	945.9	562.1
521.5	21.58646	68.85	62.60	834.3	758.6
522.5	21.67577	83.65	41.40	989.6	489.7
523.5	21.76178	84.55	45.94	1074.4	583.8
524.5	21.84309	74.54	48.27	956.8	619.6
525.5	21.92774	81.59	42.14	1003.5	518.2
526.5	22.01492	69.69	44.62	836.8	535.8
527.5	22.10404	82.80	49.89	961.8	579.5
528.5	22.19438	66.91	50.36	820.5	617.6
529.5	22.28128	75.28	49.31	877.9	575.1
530.5	22.36919	61.05	43.00	776.8	547.2
531.5	22.45309	77.87	38.51	965.2	477.4
532.5	22.53794	80.65	42.22	1000.8	524.0
533.5	22.62569	81.85	37.06	983.8	445.5
534.5	22.71407	75.35	36.32	896.9	432.4
535.5	22.80280	77.05	37.53	922.8	449.5
536.5	22.89162	85.03	37.65	1013.3	448.7
537.5	22.97990	75.37	29.98	931.5	370.4
538.5	23.06336	68.59	22.03	889.8	285.9
539.5	23.14485	71.57	26.69	922.1	343.9
540.5	23.22910	78.91	34.22	984.1	426.8
541.5	23.31665	92.44	27.37	1093.7	323.9
542.5	23.40552	80.35	31.71	988.4	390.0
543.5	23.49135	59.47	34.10	748.9	429.4
544.5	23.57516	62.89	28.21	790.7	354.6
545.5	23.65945	77.56	29.85	984.5	379.0
546.5	23.74508	75.12	40.42	914.0	491.9
547.5	23.83562	68.90	59.03	788.2	675.4
548.5	23.92912	62.57	49.97	728.4	581.7
549.5	24.02029	76.28	42.29	862.1	477.9
550.5	24.11492	66.90	47.21	791.8	558.7
551.5	24.20291	75.38	44.02	929.9	543.1
552.5	24.29082	72.13	46.99	859.5	559.9
553.5	24.38172	85.00	48.95	979.6	564.1
554.5	24.47481	86.69	44.89	1084.7	561.7
555.5	24.55821	73.40	45.47	879.3	544.8
556.5	24.65245	66.73	53.44	749.2	599.9
557.5	24.74742	67.51	56.64	768.2	644.5
558.5	24.84059	81.80	55.67	952.7	648.4
559.5	24.93268	60.77	56.97	712.5	668.0
560.5	25.02489	80.19	52.44	917.5	599.9
561.5	25.11861	82.40	53.12	964.6	621.9
562.5	25.20922	86.12	48.94	999.9	568.3
563.5	25.30553	83.46	52.29	917.4	574.8
564.5	25.40228	66.72	69.06	759.0	785.6
565.5	25.49597	71.42	66.78	821.1	767.7
566.5	25.58923	75.19	65.74	879.2	768.7
567.5	25.68100	77.09	71.90	891.0	831.0
568.5	25.77602	67.88	63.50	769.9	720.3
569.5	25.87105	76.40	57.72	872.8	659.4
570.5	25.96344	76.38	59.95	896.5	703.7
571.5	26.05756	82.51	56.54	964.1	660.6
572.5	26.14957	67.95	52.63	776.8	601.7
573.5	26.24297	67.29	57.49	774.6	661.9
574.5	26.33982	60.91	47.39	697.3	542.6
575.5	26.43173	73.05	49.90	852.2	582.2
576.5	26.52483	72.67	49.00	849.1	572.5
577.5	26.61985	74.12	49.89	825.7	555.8
578.5	26.71711	66.44	52.67	764.3	605.8
579.5	26.80929				
580.5	26.90410	80.19	52.31	908.8	592.8
581.5	26.99951	80.31	47.83	919.9	547.8
582.5	27.09452	82.61	48.23	944.9	551.7
583.5	27.18760	68.57	33.29	833.9	404.9
584.5	27.27440	72.10	22.57	924.7	289.5
585.5	27.35704	59.75	43.18	786.3	568.3
586.5	27.44324	68.40	36.64	839.2	449.6
587.5	27.53326	61.13	31.18	706.9	360.5
588.5	27.62775	63.96	35.00	807.7	442.0
589.5	27.70907	56.22	28.54	742.1	376.7
590.5	27.79588	86.36	27.21	1053.0	331.7
591.5	27.88566	71.68	28.34	887.4	350.8
592.5	27.97508	71.19	24.56	828.8	286.0
593.5	28.07260	77.24	39.23	887.3	450.7
594.5	28.16551	73.66	37.92	844.9	434.9
595.5	28.26131	71.48	29.15	850.7	346.9
596.5	28.35037	76.27	23.06	955.6	288.9
597.5	28.43541	63.41	26.03	828.1	340.0
598.5	28.52072	66.76	30.13	841.1	379.6
599.5	28.60833	70.55	30.13	869.9	371.5
600.5	28.69948	74.51	26.34	887.0	313.5
601.5	28.79123	69.12	23.07	833.6	278.1
602.5	28.88125	68.62	20.44	848.9	252.9
603.5	28.96903	63.80	25.89	803.2	325.9
604.5	29.05606	70.99	26.58	904.2	338.6
605.5	29.14100	55.71	27.71	725.5	360.9
606.5	29.22383	55.14	25.93	737.3	346.7
607.5	29.30744	60.59	26.22	798.6	345.6
608.5	29.39292	74.31	35.55	920.9	440.5
609.5	29.48317	64.48	30.33	801.6	377.1
610.5	29.57012	58.15	32.80	741.2	418.1
611.5	29.65617	53.07	31.48	689.7	409.1
612.5	29.74103	59.51	35.58	752.6	450.0
613.5	29.83281	69.17	47.56	798.8	549.2
614.5	29.92918	69.80	49.52	805.3	571.3
615.5	30.02499	83.10	45.46	980.7	536.4
616.5	30.11941	66.61	43.84	764.9	503.4
617.5	30.21359	67.02	33.45	806.1	402.3
618.5	30.30589	78.63	35.90	931.3	425.2
619.5	30.39879	72.91	36.84	873.9	441.6
620.5	30.49205	80.30	32.10	946.9	378.5
621.5	30.58612	74.42	33.90	886.6	403.9
622.5	30.67805				
623.5	30.76961				
624.5	30.85842	68.30	29.72	875.6	381.0
625.5	30.94650	66.90	33.06	824.9	407.6
626.5	31.03673	73.30	37.58	871.5	446.8
627.5	31.13566	61.94	46.41	699.5	524.1
628.5	31.23276	69.46	34.22	785.0	386.8
629.5	31.33173	68.35	39.30	786.4	452.2
630.5	31.42621	64.36	32.22	765.9	383.4
631.5	31.52069	77.36	34.20	896.4	396.3
632.5	31.61811	67.81	33.46	765.3	377.6
633.5	31.71562	58.35	18.60	712.5	227.2
634.5	31.80350	66.25	16.72	837.1	211.3
635.5	31.89296	70.99	16.80	906.3	214.4
636.5	31.97757	56.99	18.16	762.5	243.0
637.5	32.05970	66.59	15.15	884.9	201.3
638.5	32.14910	62.86	17.14	781.3	213.1
639.5	32.23924	64.67	14.70	804.4	182.9
640.5	32.32808	65.29	12.33	830.8	157.0
641.5	32.41644	65.63	15.46	826.6	194.7
642.5	32.50532	62.32	20.64	785.4	260.1
643.5	32.59755	71.76	23.15	829.2	267.5
644.5	32.69671	62.57	25.67	710.8	291.7
645.5	32.79593	73.33	24.40	833.3	277.2
646.5	32.89264	71.28	22.67	846.1	269.1
647.5	32.98683	67.43	18.16	815.6	219.7
648.5	33.07715	67.97	15.92	869.1	203.6
649.5	33.16366	58.06	13.44	764.0	176.8
650.5	33.24925	58.84	14.93	773.4	196.3
651.5	33.33431	74.43	17.79	981.4	234.6
652.5	33.42188	78.43	15.83	998.2	201.4
653.5	33.51122	74.92	17.56	946.8	221.9
654.5	33.59931	66.33	19.56	849.8	250.6
655.5	33.68993	61.74	19.06	755.6	233.3
656.5	33.78249	64.26	15.32	764.8	182.3
657.5	33.88072				
658.5	33.98113				
659.5	34.08140	83.80	17.86	961.7	205.0
660.5	34.17615	70.25	24.52	843.4	294.4
661.5	34.27262	73.73	19.06	854.7	220.9
662.5	34.37130	73.91	19.62	876.2	232.6
663.5	34.46290	71.07	18.45	898.9	233.3
664.5	34.55310	69.62	17.28	901.9	223.8
665.5	34.64035	64.46	13.48	830.1	173.6
666.5	34.72742	55.24	14.63	715.2	189.5
667.5	34.81482	63.74	10.26	841.4	135.4
668.5	34.90128	69.91	10.41	904.0	134.7
669.5	34.98963	67.38	9.15	886.1	120.4
670.5	35.07368	72.61	8.13	979.1	109.7
671.5	35.16239	58.30	13.78	746.6	176.5
672.5	35.24769	53.40	8.45	721.0	114.1
673.5	35.33402	66.91	10.57	860.9	136.0
674.5	35.42334	76.75	11.00	997.3	142.9
675.5	35.50992	77.48	10.62	1000.5	137.2
676.5	35.60159	65.85	9.72	829.4	122.4
677.5	35.68924	55.28	11.13	724.2	145.8
678.5	35.77947	69.04	11.36	853.8	140.5
679.5	35.87320	78.09	16.14	941.4	194.6
680.5	35.96544	82.10	19.06	1050.8	243.9
681.5	36.05523	74.24	13.07	938.8	165.2
682.5	36.14901	61.00	14.21	728.7	169.7
683.5	36.24378	67.39	13.86	829.2	170.6
684.5	36.33497	68.64	11.00	879.9	141.1
685.5	36.42411	65.65	13.05	838.9	166.8
686.5	36.51455	67.52	14.04	859.3	178.6
687.5	36.60447	65.93	11.86	835.9	150.4
688.5	36.69561	63.23	11.04	798.9	139.5
689.5	36.78777	68.52	9.09	835.7	110.8
690.5	36.88301	72.91	6.52	894.1	80.0
691.5	36.97350	63.24	8.63	849.5	115.9
692.5	37.05582	62.70	7.10	849.8	96.2
693.5	37.14500	68.70	13.89	895.9	181.1
694.5	37.23112	58.44	4.21	798.4	57.6
695.5	37.31570	64.67	4.93	875.3	66.8
696.5	37.40105	68.92	6.52	928.6	87.9
697.5	37.48779	63.75	5.35	865.8	72.7
698.5	37.57066	63.33	4.39	912.9	63.3
699.5	37.64799	54.90	2.78	828.8	41.9
700.5	37.72268	54.82	2.30	856.0	35.8
701.5	37.79720	56.73	2.06	903.5	32.8
702.5	37.86894	65.72	3.84	1024.4	59.9
703.5	37.94939	65.73	5.22	897.2	71.2
704.5	38.03466				
705.5	38.11260	53.78	2.30	795.9	34.0
706.5	38.19424	63.92	2.94	876.9	40.4
707.5	38.27878	58.29	3.25	834.3	46.6
708.5	38.35865	65.05	3.85	935.9	55.3
709.5	38.43911	67.41	3.92	962.8	56.0
710.5	38.52076	54.89	3.35	796.0	48.6
711.5	38.59991	53.25	3.07	782.1	45.0
712.5	38.67992	63.11	3.58	898.8	51.0
713.5	38.76382	65.09	4.60	892.2	63.0
714.5	38.84565	59.24	4.29	861.4	62.4
715.5	38.92665				
716.5	39.01001	57.05	4.97	790.6	68.8
717.5	39.09181	59.17	8.25	844.4	117.8
718.5	39.17911	67.05	10.46	864.9	134.9
719.5	39.27048	73.47	9.35	932.1	118.6
720.5	39.36217	72.74	12.68	924.2	161.1
721.5	39.45418	67.38	16.65	851.9	210.5
722.5	39.54928	75.51	18.11	895.1	214.7
723.5	39.64980	75.91	17.77	893.4	209.1
724.5	39.74727	72.17	17.35	866.9	208.4
725.5	39.84263	73.65	21.03	924.7	264.0
726.5	39.93523				
727.5	40.02522	66.41	16.54	867.8	216.2
728.5	40.11568	72.39	13.66	936.5	176.7
729.5	40.20733	74.71	18.20	934.5	227.6
730.5	40.30279	78.75	16.82	982.9	209.9
731.5	40.39354	78.86	20.10	1053.7	268.5
732.5	40.48146	61.55	15.11	793.9	194.8
733.5	40.57714	71.93	17.43	862.6	209.0
734.5	40.67570	75.54	16.54	903.9	197.9
735.5	40.77360	64.04	15.74	779.3	191.5
736.5	40.87011	79.34	16.46	954.2	198.0
737.5	40.96763				
738.5	41.05943	63.75	11.38	825.9	147.4
739.5	41.15108	72.64	11.00	941.0	142.5
740.5	41.23929	63.45	9.61	877.7	133.0
741.5	41.32557	67.66	9.97	902.3	133.0
742.5	41.41585	91.26	12.28	1147.1	154.4
743.5	41.50718	71.83	13.09	948.3	172.8
744.5	41.60154	70.81	11.38	885.4	142.3
745.5	41.69703	79.57	15.98	996.9	200.2
746.5	41.79226	71.44	17.64	863.5	213.2
747.5	41.89034	85.14	18.26	1029.4	220.8
748.5	41.98986				
749.5	42.09047	80.03	18.46	938.3	216.4
750.5	42.19042	80.80	18.59	979.5	225.4
751.5	42.28674	63.90	15.51	806.0	195.6
752.5	42.38030	73.13	18.52	925.3	234.4
753.5	42.47279	70.33	15.68	926.4	206.6
754.5	42.56350	68.39	11.16	876.8	143.1
755.5	42.65587	71.76	11.05	932.4	143.5
756.5	42.74925	69.50	11.55	894.9	148.8
757.5	42.84078	59.20	7.52	789.3	100.3
758.5	42.92674	69.12	10.63	971.8	149.4
759.5	43.01250				
760.5	43.09748	60.85	6.38	858.8	90.1
761.5	43.18305	67.87	6.22	936.8	85.9
762.5	43.27094	72.43	9.13	955.9	120.5
763.5	43.36230	71.19	9.70	986.0	134.3
764.5	43.44651	69.78	7.90	959.7	108.7
765.5	43.53684	65.81	11.23	854.2	145.7
766.5	43.62863	66.83	13.28	884.4	175.7
767.5	43.71895	68.89	11.63	912.0	154.0
768.5	43.81055	68.38	14.54	872.2	185.4
769.5	43.90686	83.38	13.07	1052.6	165.0
770.5	44.00024	80.53	13.14	1018.2	166.2
771.5	44.09767	83.33	14.18	1023.7	174.2
772.5	44.19584	71.74	16.36	868.3	198.0
773.5	44.29563	69.72	11.66	854.3	142.8
774.5	44.39081	54.79	3.04	721.1	40.1
775.5	44.48181	63.39	3.31	808.7	42.2
776.5	44.57836	64.61	7.35	808.0	92.0
777.5	44.67360	62.61	8.45	810.3	109.3
778.5	44.76589	71.29	6.94	929.2	90.5
779.5	44.85866				
780.5	44.95036	78.12	5.81	1031.8	76.7
781.5	45.04162	65.25	4.15	876.3	55.7
782.5	45.12958	60.83	5.37	853.0	75.3
783.5	45.21520	51.20	6.97	721.2	98.1
784.5	45.30133	57.01	6.31	806.1	89.2
785.5	45.38573	56.59	1.89	815.9	27.2
786.5	45.46990	68.76	3.63	983.7	52.0
787.5	45.55393	57.80	5.95	857.2	88.3
