/* DATA DESCRIPTION:
Citation:	Augustin, Laurent; Barbante, Carlo; Barnes, Piers R F; Barnola, Jean-Marc; Bigler, Matthias; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Delmonte, Barbara; Dreyfus, Gabrielle; Durand, Gael; Falourd, Sonia; Fischer, Hubertus; Flückiger, Jacqueline; Hansson, Margareta E; Huybrechts, Philippe; Jugie, Gérard; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaufmann, Patrik R; Kipfstuhl, Sepp; Lambert, Fabrice; Lipenkov, Vladimir Ya; Littot, Geneviève C; Longinelli, Antonio; Lorrain, Reginald D; Maggi, Valter; Masson-Delmotte, Valerie; Miller, Heinz; Mulvaney, Robert; Oerlemans, Johannes; Oerter, Hans; Orombelli, Giuseppe; Parrenin, Frédéric; Peel, David A; Petit, Jean Robert; Raynaud, Dominique; Ritz, Catherine; Ruth, Urs; Schwander, Jakob; Siegenthaler, Urs; Souchez, Roland A; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tabacco, Ignazio; Udisti, Roberto; van de Wal, Roderik S W; van den Broeke, Michiel R; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric William; Zucchelli, Mario (2004): Dome C age scale EDC2 for ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.198749, 
	In supplement to: Augustin, L et al. (2004): Eight glacial cycles from an Antarctic ice core. Nature, 429(6992), 623-628, https://doi.org/10.1038/nature02599
Further details:	Documentation of EPICA Dome C. hdl:10013/epic.32364.d001
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3190 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	EDC2 timescale, adopted by SC December 2003. EDC2 was recommended for all EPICA papers below 800 m until EDC3 was adopted. Matches EDC1 (doi:10.1594/PANGAEA.198748) at 800 m in ice scale. EDC1 was recommended above 800 m. However, the new timescale EDC3 (doi:10.1594/PANGAEA.671367) has been recommended since mid 2007, and supersedes both EDC1 and EDC2 which are now only shown for reference, to enable those using older papers to understand what was used.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Schwander, Jakob (schwander@climate.unibe.ch) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC2 time scale
	Gas age [ka BP] (Gas age) * PI: Schwander, Jakob (schwander@climate.unibe.ch) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC2 time scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6281 data points
*/
Depth ice/snow [m]	Age model [ka]	Gas age [ka BP]
1029	65.401	60.298
1030	65.510	60.398
1031	65.615	60.511
1032	65.721	60.604
1033	65.826	60.711
1034	65.929	60.821
1035	66.032	60.925
1036	66.139	61.016
1037	66.250	61.118
1038	66.357	61.253
1039	66.455	61.370
1040	66.552	61.472
1041	66.651	61.565
1042	66.756	61.658
1043	66.864	61.748
1044	66.975	61.837
1045	67.088	61.938
1046	67.198	62.039
1047	67.308	62.138
1048	67.415	62.255
1049	67.519	62.351
1050	67.620	62.482
1051	67.716	62.585
1052	67.818	62.674
1053	67.919	62.801
1054	68.015	62.911
1055	68.109	63.029
1056	68.201	63.130
1057	68.292	63.246
1058	68.381	63.359
1059	68.467	63.480
1060	68.552	63.587
1061	68.636	63.715
1062	68.717	63.823
1063	68.801	63.933
1064	68.891	64.018
1065	68.982	64.156
1066	69.071	64.266
1067	69.159	64.389
1068	69.249	64.483
1069	69.342	64.593
1070	69.434	64.716
1071	69.525	64.826
1072	69.617	64.938
1073	69.710	65.054
1074	69.802	65.169
1075	69.896	65.276
1076	69.993	65.385
1077	70.091	65.501
1078	70.191	65.600
1079	70.295	65.707
1080	70.401	65.819
1081	70.506	65.937
1082	70.607	66.057
1083	70.707	66.176
1084	70.805	66.288
1085	70.900	66.406
1086	70.991	66.524
1087	71.084	66.627
1088	71.178	66.749
1089	71.271	66.868
1090	71.363	66.995
1091	71.452	67.113
1092	71.541	67.223
1093	71.630	67.335
1094	71.714	67.462
1095	71.796	67.554
1096	71.879	67.659
1097	71.961	67.762
1098	72.043	67.858
1099	72.126	67.955
1100	72.207	68.051
1101	72.284	68.157
1102	72.360	68.232
1103	72.441	68.314
1104	72.523	68.398
1105	72.607	68.480
1106	72.692	68.564
1107	72.778	68.644
1108	72.867	68.732
1109	72.955	68.832
1110	73.043	68.918
1111	73.134	69.007
1112	73.226	69.101
1113	73.319	69.192
1114	73.415	69.282
1115	73.515	69.371
1116	73.615	69.475
1117	73.712	69.583
1118	73.806	69.690
1119	73.901	69.780
1120	73.996	69.894
1121	74.091	70.000
1122	74.187	70.106
1123	74.281	70.226
1124	74.374	70.332
1125	74.470	70.434
1126	74.565	70.543
1127	74.657	70.652
1128	74.747	70.751
1129	74.837	70.849
1130	74.926	70.943
1131	75.014	71.044
1132	75.105	71.120
1133	75.200	71.213
1134	75.296	71.294
1135	75.393	71.391
1136	75.486	71.480
1137	75.580	71.566
1138	75.671	71.654
1139	75.760	71.735
1140	75.853	71.807
1141	75.945	71.897
1142	76.034	71.977
1143	76.124	72.058
1144	76.212	72.142
1145	76.297	72.233
1146	76.381	72.302
1147	76.467	72.388
1148	76.560	72.449
1149	76.657	72.544
1150	76.749	72.650
1151	76.833	72.754
1152	76.916	72.841
1153	77.000	72.932
1154	77.087	73.023
1155	77.174	73.123
1156	77.258	73.237
1157	77.341	73.325
1158	77.428	73.426
1159	77.516	73.532
1160	77.601	73.640
1161	77.683	73.744
1162	77.766	73.836
1163	77.850	73.939
1164	77.934	74.034
1165	78.018	74.132
1166	78.102	74.237
1167	78.183	74.337
1168	78.266	74.431
1169	78.350	74.528
1170	78.435	74.618
1171	78.520	74.712
1172	78.605	74.807
1173	78.692	74.895
1174	78.777	75.012
1175	78.858	75.106
1176	78.942	75.206
1177	79.025	75.310
1178	79.108	75.403
1179	79.188	75.518
1180	79.266	75.606
1181	79.344	75.708
1182	79.422	75.798
1183	79.500	75.891
1184	79.581	75.978
1185	79.661	76.077
1186	79.740	76.171
1187	79.816	76.268
1188	79.891	76.359
1189	79.970	76.442
1190	80.050	76.544
1191	80.129	76.641
1192	80.207	76.733
1193	80.282	76.826
1194	80.356	76.915
1195	80.432	77.001
1196	80.509	77.089
1197	80.586	77.177
1198	80.663	77.271
1199	80.736	77.370
1200	80.810	77.448
1201	80.885	77.542
1202	80.961	77.621
1203	81.040	77.707
1204	81.117	77.804
1205	81.191	77.899
1206	81.266	77.977
1207	81.344	78.063
1208	81.421	78.155
1209	81.498	78.239
1210	81.577	78.330
1211	81.657	78.409
1212	81.739	78.504
1213	81.819	78.599
1214	81.897	78.689
1215	81.976	78.771
1216	82.055	78.861
1217	82.134	78.945
1218	82.215	79.017
1219	82.298	79.110
1220	82.381	79.179
1221	82.466	79.265
1222	82.551	79.342
1223	82.634	79.438
1224	82.715	79.510
1225	82.798	79.596
1226	82.882	79.670
1227	82.967	79.749
1228	83.054	79.824
1229	83.141	79.907
1230	83.230	79.978
1231	83.321	80.059
1232	83.411	80.141
1233	83.499	80.217
1234	83.589	80.290
1235	83.680	80.364
1236	83.772	80.444
1237	83.864	80.516
1238	83.959	80.586
1239	84.057	80.660
1240	84.152	80.744
1241	84.248	80.812
1242	84.344	80.896
1243	84.440	80.969
1244	84.542	81.030
1245	84.652	81.099
1246	84.758	81.195
1247	84.859	81.267
1248	84.963	81.345
1249	85.066	81.430
1250	85.168	81.504
1251	85.272	81.584
1252	85.375	81.670
1253	85.475	81.751
1254	85.577	81.823
1255	85.681	81.903
1256	85.783	81.987
1257	85.887	82.063
1258	85.990	82.151
1259	86.090	82.238
1260	86.188	82.325
1261	86.284	82.413
1262	86.380	82.496
1263	86.478	82.571
1264	86.579	82.655
1265	86.676	82.754
1266	86.768	82.841
1267	86.862	82.928
1268	86.958	83.010
1269	87.056	83.100
1270	87.152	83.199
1271	87.245	83.295
1272	87.336	83.391
1273	87.428	83.476
1274	87.524	83.565
1275	87.620	83.667
1276	87.717	83.752
1277	87.818	83.852
1278	87.919	83.951
1279	88.023	84.044
1280	88.128	84.156
1281	88.228	84.265
1282	88.326	84.377
1283	88.425	84.481
1284	88.529	84.584
1285	88.637	84.692
1286	88.743	84.808
1287	88.848	84.915
1288	88.947	85.047
1289	89.045	85.137
1290	89.147	85.248
1291	89.250	85.350
1292	89.352	85.465
1293	89.452	85.576
1294	89.554	85.673
1295	89.659	85.776
1296	89.759	85.900
1297	89.856	85.998
1298	89.952	86.107
1299	90.044	86.210
1300	90.138	86.296
1301	90.234	86.408
1302	90.327	86.506
1303	90.427	86.580
1304	90.531	86.686
1305	90.631	86.785
1306	90.730	86.885
1307	90.827	86.987
1308	90.924	87.083
1309	91.024	87.167
1310	91.124	87.269
1311	91.223	87.368
1312	91.321	87.472
1313	91.418	87.573
1314	91.516	87.678
1315	91.612	87.789
1316	91.705	87.901
1317	91.800	87.999
1318	91.898	88.105
1319	91.994	88.213
1320	92.091	88.315
1321	92.191	88.411
1322	92.290	88.538
1323	92.381	88.669
1324	92.468	88.765
1325	92.558	88.868
1326	92.649	88.974
1327	92.741	89.072
1328	92.836	89.175
1329	92.931	89.283
1330	93.024	89.388
1331	93.119	89.490
1332	93.214	89.593
1333	93.312	89.689
1334	93.409	89.792
1335	93.501	89.899
1336	93.597	89.977
1337	93.695	90.085
1338	93.790	90.193
1339	93.884	90.284
1340	93.981	90.397
1341	94.080	90.487
1342	94.180	90.598
1343	94.279	90.698
1344	94.378	90.799
1345	94.477	90.901
1346	94.576	91.006
1347	94.672	91.115
1348	94.766	91.215
1349	94.858	91.319
1350	94.952	91.411
1351	95.049	91.504
1352	95.147	91.601
1353	95.247	91.695
1354	95.344	91.805
1355	95.439	91.905
1356	95.535	91.999
1357	95.631	92.102
1358	95.726	92.196
1359	95.824	92.281
1360	95.922	92.377
1361	96.018	92.469
1362	96.112	92.571
1363	96.202	92.672
1364	96.297	92.745
1365	96.398	92.845
1366	96.498	92.942
1367	96.596	93.046
1368	96.692	93.143
1369	96.791	93.236
1370	96.891	93.339
1371	96.989	93.435
1372	97.087	93.535
1373	97.186	93.635
1374	97.284	93.732
1375	97.382	93.835
1376	97.482	93.926
1377	97.582	94.039
1378	97.678	94.142
1379	97.775	94.241
1380	97.871	94.346
1381	97.967	94.442
1382	98.064	94.542
1383	98.159	94.646
1384	98.251	94.746
1385	98.338	94.858
1386	98.425	94.943
1387	98.519	95.034
1388	98.619	95.123
1389	98.720	95.233
1390	98.817	95.332
1391	98.914	95.433
1392	99.006	95.543
1393	99.099	95.631
1394	99.196	95.726
1395	99.296	95.820
1396	99.397	95.920
1397	99.498	96.014
1398	99.600	96.111
1399	99.704	96.208
1400	99.805	96.323
1401	99.907	96.412
1402	100.011	96.519
1403	100.112	96.626
1404	100.211	96.733
1405	100.309	96.831
1406	100.411	96.922
1407	100.518	97.022
1408	100.624	97.125
1409	100.733	97.217
1410	100.843	97.323
1411	100.951	97.429
1412	101.057	97.528
1413	101.163	97.625
1414	101.269	97.722
1415	101.376	97.819
1416	101.482	97.915
1417	101.589	98.008
1418	101.697	98.100
1419	101.806	98.192
1420	101.914	98.282
1421	102.022	98.376
1422	102.131	98.476
1423	102.239	98.576
1424	102.349	98.673
1425	102.459	98.770
1426	102.570	98.866
1427	102.680	98.961
1428	102.791	99.060
1429	102.901	99.161
1430	103.012	99.264
1431	103.124	99.364
1432	103.236	99.467
1433	103.349	99.571
1434	103.462	99.675
1435	103.574	99.777
1436	103.687	99.881
1437	103.800	99.984
1438	103.914	100.083
1439	104.029	100.186
1440	104.144	100.292
1441	104.259	100.401
1442	104.374	100.511
1443	104.489	100.622
1444	104.605	100.734
1445	104.721	100.841
1446	104.838	100.949
1447	104.955	101.057
1448	105.073	101.165
1449	105.190	101.274
1450	105.308	101.383
1451	105.426	101.494
1452	105.544	101.602
1453	105.664	101.713
1454	105.784	101.825
1455	105.904	101.937
1456	106.024	102.049
1457	106.144	102.161
1458	106.265	102.270
1459	106.387	102.383
1460	106.509	102.496
1461	106.631	102.608
1462	106.754	102.722
1463	106.874	102.841
1464	106.994	102.953
1465	107.116	103.065
1466	107.237	103.187
1467	107.355	103.304
1468	107.472	103.422
1469	107.589	103.539
1470	107.707	103.648
1471	107.824	103.781
1472	107.940	103.885
1473	108.059	104.010
1474	108.173	104.137
1475	108.287	104.252
1476	108.402	104.372
1477	108.517	104.495
1478	108.630	104.615
1479	108.746	104.731
1480	108.860	104.860
1481	108.976	104.971
1482	109.092	105.101
1483	109.207	105.225
1484	109.322	105.346
1485	109.438	105.466
1486	109.554	105.597
1487	109.670	105.722
1488	109.784	105.852
1489	109.896	105.982
1490	110.006	106.114
1491	110.114	106.246
1492	110.220	106.377
1493	110.326	106.506
1494	110.431	106.637
1495	110.535	106.764
1496	110.639	106.890
1497	110.743	107.021
1498	110.846	107.146
1499	110.949	107.270
1500	111.052	107.395
1501	111.156	107.508
1502	111.260	107.647
1503	111.358	107.771
1504	111.456	107.894
1505	111.552	108.020
1506	111.649	108.136
1507	111.748	108.255
1508	111.845	108.386
1509	111.942	108.496
1510	112.042	108.620
1511	112.139	108.757
1512	112.231	108.885
1513	112.324	108.997
1514	112.420	109.129
1515	112.512	109.256
1516	112.603	109.378
1517	112.695	109.503
1518	112.788	109.618
1519	112.883	109.738
1520	112.976	109.861
1521	113.069	109.965
1522	113.163	110.090
1523	113.254	110.196
1524	113.346	110.309
1525	113.433	110.438
1526	113.517	110.539
1527	113.605	110.643
1528	113.691	110.763
1529	113.775	110.873
1530	113.857	110.987
1531	113.940	111.083
1532	114.023	111.202
1533	114.106	111.293
1534	114.191	111.401
1535	114.276	111.499
1536	114.362	111.606
1537	114.442	111.727
1538	114.520	111.817
1539	114.600	111.926
1540	114.681	112.020
1541	114.763	112.125
1542	114.844	112.222
1543	114.929	112.321
1544	115.014	112.424
1545	115.099	112.525
1546	115.182	112.635
1547	115.261	112.743
1548	115.340	112.841
1549	115.424	112.934
1550	115.510	113.035
1551	115.596	113.138
1552	115.675	113.254
1553	115.748	113.352
1554	115.822	113.437
1555	115.898	113.531
1556	115.977	113.614
1557	116.059	113.704
1558	116.140	113.795
1559	116.221	113.888
1560	116.302	113.975
1561	116.384	114.063
1562	116.468	114.155
1563	116.550	114.247
1564	116.634	114.330
1565	116.717	114.426
1566	116.796	114.513
1567	116.876	114.599
1568	116.954	114.696
1569	117.032	114.776
1570	117.113	114.863
1571	117.196	114.948
1572	117.279	115.040
1573	117.358	115.129
1574	117.435	115.216
1575	117.512	115.298
1576	117.591	115.384
1577	117.670	115.470
1578	117.750	115.551
1579	117.831	115.628
1580	117.912	115.708
1581	117.991	115.789
1582	118.069	115.870
1583	118.148	115.955
1584	118.227	116.041
1585	118.305	116.127
1586	118.383	116.212
1587	118.461	116.298
1588	118.540	116.386
1589	118.617	116.474
1590	118.695	116.560
1591	118.772	116.644
1592	118.849	116.728
1593	118.926	116.811
1594	119.002	116.893
1595	119.079	116.976
1596	119.155	117.063
1597	119.231	117.148
1598	119.307	117.232
1599	119.384	117.314
1600	119.459	117.395
1601	119.535	117.478
1602	119.610	117.563
1603	119.684	117.646
1604	119.760	117.727
1605	119.838	117.809
1606	119.917	117.892
1607	119.996	117.974
1608	120.073	118.060
1609	120.151	118.138
1610	120.232	118.215
1611	120.311	118.302
1612	120.388	118.387
1613	120.463	118.469
1614	120.536	118.549
1615	120.613	118.622
1616	120.694	118.699
1617	120.774	118.784
1618	120.849	118.867
1619	120.926	118.940
1620	121.004	119.017
1621	121.082	119.100
1622	121.160	119.174
1623	121.239	119.251
1624	121.317	119.329
1625	121.396	119.407
1626	121.473	119.487
1627	121.546	119.572
1628	121.615	119.657
1629	121.681	119.737
1630	121.749	119.811
1631	121.823	119.883
1632	121.902	119.957
1633	121.984	120.037
1634	122.068	120.116
1635	122.152	120.199
1636	122.233	120.284
1637	122.312	120.359
1638	122.393	120.436
1639	122.475	120.513
1640	122.559	120.592
1641	122.640	120.682
1642	122.719	120.759
1643	122.800	120.833
1644	122.881	120.919
1645	122.960	120.996
1646	123.041	121.074
1647	123.121	121.154
1648	123.201	121.232
1649	123.283	121.301
1650	123.371	121.373
1651	123.457	121.449
1652	123.540	121.524
1653	123.620	121.591
1654	123.703	121.661
1655	123.784	121.743
1656	123.865	121.821
1657	123.949	121.902
1658	124.034	121.988
1659	124.117	122.076
1660	124.198	122.163
1661	124.277	122.246
1662	124.355	122.331
1663	124.431	122.420
1664	124.505	122.503
1665	124.582	122.582
1666	124.656	122.671
1667	124.730	122.748
1668	124.807	122.829
1669	124.882	122.918
1670	124.958	122.994
1671	125.035	123.081
1672	125.109	123.171
1673	125.183	123.258
1674	125.259	123.344
1675	125.336	123.435
1676	125.409	123.527
1677	125.477	123.622
1678	125.542	123.707
1679	125.608	123.789
1680	125.677	123.874
1681	125.747	123.961
1682	125.815	124.052
1683	125.881	124.137
1684	125.947	124.214
1685	126.014	124.297
1686	126.079	124.376
1687	126.143	124.458
1688	126.204	124.542
1689	126.266	124.612
1690	126.331	124.690
1691	126.394	124.777
1692	126.456	124.849
1693	126.521	124.928
1694	126.586	125.006
1695	126.652	125.082
1696	126.719	125.161
1697	126.786	125.234
1698	126.855	125.307
1699	126.923	125.385
1700	126.987	125.453
1701	127.053	125.517
1702	127.122	125.579
1703	127.194	125.649
1704	127.265	125.722
1705	127.334	125.789
1706	127.403	125.854
1707	127.473	125.918
1708	127.543	125.981
1709	127.613	126.046
1710	127.682	126.107
1711	127.752	126.166
1712	127.824	126.226
1713	127.895	126.291
1714	127.967	126.349
1715	128.042	126.411
1716	128.117	126.475
1717	128.192	126.541
1718	128.268	126.607
1719	128.345	126.666
1720	128.427	126.730
1721	128.509	126.799
1722	128.591	126.862
1723	128.675	126.923
1724	128.761	126.990
1725	128.847	127.057
1726	128.934	127.126
1727	129.020	127.193
1728	129.108	127.259
1729	129.196	127.325
1730	129.284	127.394
1731	129.371	127.461
1732	129.459	127.523
1733	129.552	127.586
1734	129.648	127.650
1735	129.746	127.718
1736	129.846	127.782
1737	129.949	127.850
1738	130.054	127.921
1739	130.158	127.992
1740	130.261	128.066
1741	130.366	128.137
1742	130.474	128.204
1743	130.586	128.281
1744	130.699	128.359
1745	130.814	128.434
1746	130.934	128.508
1747	131.061	128.582
1748	131.190	128.666
1749	131.318	128.749
1750	131.449	128.825
1751	131.578	128.917
1752	131.703	128.996
1753	131.835	129.070
1754	131.968	129.160
1755	132.102	129.235
1756	132.243	129.316
1757	132.384	129.405
1758	132.528	129.490
1759	132.677	129.579
1760	132.831	129.670
1761	132.988	129.765
1762	133.149	129.857
1763	133.318	129.949
1764	133.494	130.041
1765	133.673	130.142
1766	133.847	130.249
1767	134.018	130.354
1768	134.193	130.453
1769	134.378	130.557
1770	134.568	130.666
1771	134.759	130.782
1772	134.949	130.907
1773	135.134	131.032
1774	135.315	131.158
1775	135.494	131.280
1776	135.678	131.395
1777	135.867	131.516
1778	136.056	131.640
1779	136.242	131.771
1780	136.425	131.900
1781	136.610	132.028
1782	136.801	132.158
1783	136.999	132.294
1784	137.200	132.433
1785	137.407	132.579
1786	137.612	132.739
1787	137.810	132.906
1788	138.007	133.065
1789	138.208	133.235
1790	138.407	133.417
1791	138.603	133.596
1792	138.794	133.775
1793	138.983	133.951
1794	139.176	134.127
1795	139.376	134.309
1796	139.576	134.507
1797	139.771	134.704
1798	139.970	134.875
1799	140.174	135.064
1800	140.371	135.256
1801	140.564	135.434
1802	140.760	135.623
1803	140.952	135.817
1804	141.140	136.012
1805	141.326	136.197
1806	141.519	136.374
1807	141.713	136.576
1808	141.898	136.792
1809	142.086	136.980
1810	142.284	137.187
1811	142.479	137.405
1812	142.664	137.623
1813	142.850	137.812
1814	143.043	138.009
1815	143.240	138.212
1816	143.439	138.409
1817	143.633	138.617
1818	143.821	138.816
1819	144.008	139.012
1820	144.203	139.205
1821	144.398	139.422
1822	144.585	139.630
1823	144.770	139.831
1824	144.949	140.058
1825	145.122	140.254
1826	145.300	140.442
1827	145.484	140.632
1828	145.676	140.819
1829	145.873	141.007
1830	146.070	141.202
1831	146.258	141.417
1832	146.438	141.612
1833	146.621	141.797
1834	146.807	141.991
1835	146.997	142.189
1836	147.188	142.385
1837	147.379	142.577
1838	147.572	142.770
1839	147.762	142.982
1840	147.944	143.194
1841	148.120	143.403
1842	148.291	143.603
1843	148.462	143.790
1844	148.636	143.981
1845	148.814	144.174
1846	148.994	144.362
1847	149.177	144.545
1848	149.360	144.731
1849	149.540	144.916
1850	149.715	145.101
1851	149.891	145.287
1852	150.072	145.474
1853	150.258	145.671
1854	150.444	145.879
1855	150.625	146.074
1856	150.805	146.261
1857	150.990	146.441
1858	151.180	146.632
1859	151.373	146.824
1860	151.568	147.016
1861	151.764	147.216
1862	151.959	147.411
1863	152.155	147.597
1864	152.356	147.774
1865	152.559	147.954
1866	152.761	148.123
1867	152.970	148.287
1868	153.184	148.463
1869	153.396	148.645
1870	153.604	148.832
1871	153.807	149.017
1872	154.013	149.193
1873	154.226	149.363
1874	154.447	149.532
1875	154.664	149.724
1876	154.870	149.911
1877	155.075	150.093
1878	155.283	150.274
1879	155.494	150.452
1880	155.702	150.644
1881	155.904	150.837
1882	156.107	151.021
1883	156.316	151.213
1884	156.524	151.419
1885	156.724	151.626
1886	156.913	151.846
1887	157.091	152.055
1888	157.265	152.266
1889	157.441	152.469
1890	157.618	152.687
1891	157.796	152.903
1892	157.976	153.123
1893	158.159	153.338
1894	158.345	153.551
1895	158.534	153.765
1896	158.726	153.985
1897	158.921	154.212
1898	159.118	154.438
1899	159.318	154.659
1900	159.516	154.879
1901	159.712	155.104
1902	159.906	155.325
1903	160.100	155.548
1904	160.291	155.764
1905	160.480	155.978
1906	160.669	156.198
1907	160.855	156.411
1908	161.040	156.609
1909	161.229	156.785
1910	161.426	156.953
1911	161.632	157.124
1912	161.842	157.300
1913	162.053	157.480
1914	162.265	157.661
1915	162.477	157.846
1916	162.690	158.036
1917	162.904	158.224
1918	163.120	158.419
1919	163.336	158.617
1920	163.551	158.822
1921	163.764	159.025
1922	163.976	159.229
1923	164.185	159.433
1924	164.393	159.629
1925	164.600	159.826
1926	164.802	160.023
1927	165.000	160.215
1928	165.194	160.409
1929	165.386	160.597
1930	165.576	160.788
1931	165.766	160.980
1932	165.954	161.180
1933	166.141	161.389
1934	166.328	161.605
1935	166.515	161.824
1936	166.702	162.043
1937	166.890	162.265
1938	167.078	162.488
1939	167.267	162.711
1940	167.461	162.932
1941	167.661	163.154
1942	167.865	163.376
1943	168.072	163.597
1944	168.283	163.816
1945	168.494	164.037
1946	168.702	164.254
1947	168.911	164.464
1948	169.123	164.667
1949	169.338	164.864
1950	169.552	165.067
1951	169.758	165.272
1952	169.952	165.475
1953	170.142	165.661
1954	170.335	165.848
1955	170.531	166.033
1956	170.730	166.217
1957	170.933	166.404
1958	171.139	166.586
1959	171.351	166.775
1960	171.568	166.961
1961	171.787	167.156
1962	172.007	167.359
1963	172.226	167.572
1964	172.445	167.782
1965	172.665	167.997
1966	172.886	168.216
1967	173.105	168.435
1968	173.320	168.656
1969	173.532	168.872
1970	173.746	169.087
1971	173.961	169.301
1972	174.179	169.506
1973	174.399	169.698
1974	174.622	169.889
1975	174.844	170.081
1976	175.067	170.276
1977	175.290	170.476
1978	175.512	170.683
1979	175.732	170.892
1980	175.952	171.106
1981	176.175	171.322
1982	176.400	171.545
1983	176.630	171.766
1984	176.861	171.990
1985	177.094	172.210
1986	177.330	172.429
1987	177.569	172.654
1988	177.808	172.876
1989	178.042	173.104
1990	178.265	173.331
1991	178.482	173.548
1992	178.705	173.756
1993	178.941	173.968
1994	179.182	174.192
1995	179.421	174.422
1996	179.658	174.652
1997	179.896	174.872
1998	180.144	175.090
1999	180.400	175.313
2000	180.654	175.547
2001	180.901	175.778
2002	181.142	176.010
2003	181.383	176.244
2004	181.623	176.479
2005	181.866	176.715
2006	182.110	176.955
2007	182.357	177.195
2008	182.606	177.439
2009	182.857	177.677
2010	183.107	177.912
2011	183.351	178.146
2012	183.587	178.377
2013	183.817	178.615
2014	184.048	178.856
2015	184.283	179.103
2016	184.517	179.351
2017	184.747	179.606
2018	184.971	179.868
2019	185.188	180.137
2020	185.400	180.412
2021	185.606	180.675
2022	185.804	180.935
2023	185.994	181.200
2024	186.174	181.460
2025	186.348	181.727
2026	186.514	181.997
2027	186.679	182.254
2028	186.850	182.518
2029	187.026	182.778
2030	187.210	183.035
2031	187.402	183.285
2032	187.602	183.532
2033	187.804	183.783
2034	188.007	184.037
2035	188.211	184.289
2036	188.419	184.535
2037	188.630	184.773
2038	188.842	185.003
2039	189.053	185.224
2040	189.261	185.437
2041	189.465	185.641
2042	189.666	185.830
2043	189.862	186.012
2044	190.054	186.182
2045	190.242	186.349
2046	190.430	186.512
2047	190.622	186.674
2048	190.824	186.844
2049	191.034	187.024
2050	191.251	187.218
2051	191.473	187.417
2052	191.695	187.631
2053	191.910	187.850
2054	192.117	188.068
2055	192.322	188.286
2056	192.525	188.508
2057	192.725	188.729
2058	192.920	188.953
2059	193.109	189.170
2060	193.292	189.380
2061	193.473	189.580
2062	193.653	189.780
2063	193.833	189.971
2064	194.015	190.165
2065	194.198	190.360
2066	194.380	190.573
2067	194.557	190.798
2068	194.730	191.036
2069	194.899	191.280
2070	195.064	191.519
2071	195.227	191.752
2072	195.389	191.979
2073	195.549	192.200
2074	195.706	192.417
2075	195.863	192.633
2076	196.017	192.838
2077	196.172	193.037
2078	196.327	193.232
2079	196.482	193.427
2080	196.637	193.620
2081	196.792	193.816
2082	196.948	194.013
2083	197.104	194.208
2084	197.260	194.398
2085	197.417	194.582
2086	197.574	194.759
2087	197.732	194.934
2088	197.891	195.105
2089	198.052	195.270
2090	198.215	195.436
2091	198.379	195.601
2092	198.543	195.762
2093	198.708	195.923
2094	198.874	196.081
2095	199.043	196.240
2096	199.213	196.399
2097	199.384	196.560
2098	199.556	196.717
2099	199.733	196.872
2100	199.918	197.025
2101	200.110	197.182
2102	200.306	197.340
2103	200.505	197.498
2104	200.708	197.658
2105	200.911	197.818
2106	201.117	197.979
2107	201.324	198.141
2108	201.533	198.303
2109	201.744	198.466
2110	201.952	198.632
2111	202.156	198.799
2112	202.357	198.968
2113	202.560	199.132
2114	202.768	199.300
2115	202.975	199.476
2116	203.179	199.663
2117	203.377	199.859
2118	203.570	200.061
2119	203.757	200.268
