/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): AICC2012 chronology for ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824865, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Further details:	Supplementary material to AICC2012 ice core chronology (URI: hdl:10013/epic.42823.d001)
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3192.75 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Age, standard deviation [±] (Age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age, standard deviation [±] (Gas age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Thinning function (TF) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Lock-in depth in ice equivalent [m] (LIDIE) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	11512 data points
*/
Depth ice/snow [m]	Age [ka BP]	Age std dev [±]	Gas age [ka BP]	Gas age std dev [±]	Acc rate ice per year [m/a]	TF	LIDIE [m]
414.15	14.44540	0.43726	11.53210	0.42409	0.0221	0.9226	68.56
415.80	14.52640	0.41503	11.53760	0.43489	0.0224	0.9230	70.02
417.45	14.60610	0.44219	11.54170	0.44745	0.0256	0.9228	71.95
419.10	14.67590	0.45673	11.55190	0.43254	0.0239	0.9221	71.24
420.75	14.75070	0.43614	11.62350	0.47195	0.0215	0.9214	69.83
422.40	14.83400	0.43555	11.72490	0.45350	0.0213	0.9206	68.91
424.05	14.91810	0.44824	11.82010	0.46363	0.0206	0.9197	67.88
425.70	15.00540	0.45185	11.91540	0.49068	0.0192	0.9187	66.75
427.35	15.09870	0.47915	12.01910	0.55172	0.0202	0.9177	65.92
429.00	15.18770	0.48785	12.12160	0.56163	0.0209	0.9168	64.94
430.65	15.27370	0.47250	12.23120	0.64204	0.0199	0.9157	63.79
432.30	15.36420	0.51581	12.35640	0.65115	0.0208	0.9150	64.41
433.95	15.45080	0.53364	12.40950	0.68044	0.0199	0.9142	65.03
435.60	15.54140	0.51516	12.46130	0.70267	0.0198	0.9133	65.76
437.25	15.63260	0.50895	12.50840	0.80929	0.0183	0.9125	65.95
438.90	15.73150	0.55430	12.58170	0.81417	0.0180	0.9117	66.03
440.55	15.83230	0.57192	12.66300	0.85869	0.0187	0.9108	66.29
442.20	15.92940	0.55563	12.73620	0.97825	0.0182	0.9101	66.29
443.85	16.02910	0.56428	12.82500	0.95859	0.0182	0.9093	66.29
445.50	16.12860	0.57958	12.91870	0.98119	0.0184	0.9084	66.00
447.15	16.22710	0.61430	13.02510	0.96367	0.0177	0.9075	64.19
448.80	16.32980	0.65524	13.20460	0.97413	0.0175	0.9067	62.37
450.45	16.43380	0.66330	13.38480	0.92652	0.0169	0.9057	60.87
452.10	16.54190	0.71731	13.54580	0.96041	0.0171	0.9050	61.39
453.75	16.64840	0.74195	13.60870	1.08844	0.0168	0.9042	61.99
455.40	16.75670	0.71914	13.66880	1.13331	0.0167	0.9035	62.72
457.05	16.86580	0.78479	13.72720	1.07737	0.0163	0.9026	62.71
458.70	16.97830	0.71135	13.81840	1.18521	0.0154	0.9017	61.90
460.35	17.09670	0.76317	13.94710	1.16600	0.0154	0.9010	61.30
462.00	17.21540	0.79546	14.07090	1.12027	0.0147	0.9002	60.64
463.65	17.34030	0.78805	14.19010	1.20748	0.0144	0.8995	61.24
465.30	17.46810	0.74865	14.25060	1.27786	0.0151	0.8987	63.14
466.95	17.59010	0.80802	14.25070	1.19452	0.0144	0.8979	64.20
468.60	17.71730	0.79056	14.28910	1.29350	0.0141	0.8971	63.78
470.25	17.84760	0.88868	14.38890	1.26812	0.0137	0.8962	63.15
471.90	17.98190	0.89701	14.50220	1.10447	0.0132	0.8952	62.46
473.55	18.12160	0.88995	14.61400	1.19538	0.0141	0.8942	62.70
475.20	18.25240	0.91121	14.67770	1.22070	0.0138	0.8932	63.55
476.85	18.38580	0.94314	14.72070	1.37893	0.0135	0.8922	64.14
478.50	18.52270	0.91138	14.77730	1.40225	0.0141	0.8911	65.04
480.15	18.65360	0.90017	14.82340	1.41782	0.0139	0.8902	64.96
481.80	18.78710	0.92490	14.91410	1.53835	0.0135	0.8893	63.46
483.45	18.92430	1.03508	15.08000	1.39429	0.0146	0.8883	62.34
485.10	19.05130	1.00935	15.22550	1.37426	0.0140	0.8872	61.01
486.75	19.18430	1.00110	15.38110	1.41465	0.0143	0.8863	60.11
488.40	19.31480	0.99908	15.51530	1.51921	0.0141	0.8856	59.13
490.05	19.44660	0.94366	15.65900	1.54409	0.0140	0.8849	58.91
491.70	19.57960	0.90223	15.77270	1.56977	0.0146	0.8842	59.74
493.35	19.70740	0.86645	15.83120	1.53665	0.0152	0.8834	60.57
495.00	19.83050	0.94442	15.88780	1.59328	0.0143	0.8826	61.05
496.65	19.96130	0.96301	15.96360	1.61802	0.0141	0.8819	61.81
498.30	20.09420	0.93008	16.02540	1.64046	0.0144	0.8812	62.60
499.95	20.22420	0.95386	16.08580	1.64943	0.0153	0.8804	63.61
501.60	20.34660	1.00036	16.13450	1.70049	0.0144	0.8796	62.92
503.25	20.47690	0.99869	16.27410	1.73850	0.0153	0.8789	61.03
504.90	20.59960	0.99900	16.48650	1.67964	0.0150	0.8783	58.77
506.55	20.72510	1.01795	16.72600	1.70451	0.0145	0.8775	57.50
508.20	20.85470	1.10611	16.91290	1.80707	0.0155	0.8768	57.92
509.85	20.97590	1.04663	17.00480	1.80737	0.0148	0.8759	57.95
511.50	21.10290	1.11605	17.12520	1.91486	0.0153	0.8753	58.38
513.15	21.22630	1.06450	17.21910	1.93784	0.0147	0.8744	59.25
514.80	21.35460	1.01957	17.29060	2.01788	0.0151	0.8738	60.42
516.45	21.47950	1.00638	17.34070	2.03702	0.0145	0.8731	61.13
518.10	21.61020	1.01169	17.42390	1.99357	0.0155	0.8724	60.13
519.75	21.73260	0.94836	17.61650	2.01948	0.0144	0.8717	57.66
521.40	21.86360	0.96874	17.92000	1.90231	0.0139	0.8710	55.46
523.05	21.99970	0.92823	18.21630	1.97373	0.0149	0.8702	54.88
524.70	22.12700	0.93433	18.39400	1.99303	0.0140	0.8695	55.31
526.35	22.26250	0.88857	18.50250	1.93277	0.0135	0.8688	55.81
528.00	22.40330	0.95057	18.60310	1.98450	0.0138	0.8680	56.13
529.65	22.54070	1.04923	18.71650	2.01087	0.0143	0.8673	55.31
531.30	22.67350	1.02875	18.91420	1.91873	0.0143	0.8666	54.29
532.95	22.80690	1.09307	19.11600	1.86125	0.0137	0.8660	53.68
534.60	22.94600	1.05815	19.29250	1.88011	0.0136	0.8652	54.01
536.25	23.08610	1.01954	19.40410	1.89848	0.0137	0.8645	54.35
537.90	23.22580	1.00622	19.51630	1.84194	0.0145	0.8639	54.98
539.55	23.35710	0.96346	19.60680	1.78676	0.0139	0.8634	55.28
541.20	23.49450	0.97359	19.71690	1.79296	0.0132	0.8626	55.56
542.85	23.63970	0.91025	19.82500	1.92114	0.0137	0.8618	56.19
544.50	23.77900	0.98442	19.91560	1.98132	0.0137	0.8611	56.92
546.15	23.91910	1.04189	20.00040	1.97320	0.0126	0.8606	57.50
547.80	24.07110	1.07287	20.09540	2.01347	0.0123	0.8599	58.34
549.45	24.22690	1.11097	20.17170	1.93541	0.0121	0.8591	59.07
551.10	24.38590	1.13018	20.25390	2.04452	0.0126	0.8586	58.48
552.75	24.53790	1.09708	20.42060	1.93782	0.0119	0.8579	57.20
554.40	24.70000	1.03056	20.63240	1.96826	0.0127	0.8571	56.34
556.05	24.85120	1.07092	20.82070	1.88517	0.0114	0.8564	54.92
557.70	25.02070	0.99567	21.03890	1.85061	0.0116	0.8558	53.25
559.35	25.18680	1.03106	21.27520	1.79208	0.0116	0.8551	52.87
561.00	25.35390	1.01235	21.42590	1.85741	0.0117	0.8544	54.90
562.65	25.51900	0.99608	21.42930	1.91955	0.0109	0.8536	54.55
564.30	25.69630	0.95828	21.58160	1.83262	0.0113	0.8530	55.61
565.95	25.86730	0.94481	21.64100	1.95300	0.0116	0.8523	55.75
567.60	26.03370	0.96235	21.75890	2.00672	0.0115	0.8517	57.44
569.25	26.20230	0.99024	21.77840	2.06616	0.0118	0.8511	57.12
570.90	26.36650	0.90270	21.92790	2.14119	0.0117	0.8505	59.22
572.55	26.53210	0.83799	21.93690	1.99419	0.0115	0.8498	58.92
574.20	26.70160	0.87374	22.08320	2.04002	0.0117	0.8492	60.35
575.85	26.86800	0.85756	22.11940	2.20695	0.0117	0.8487	61.64
577.50	27.03470	0.89339	22.16700	2.24997	0.0115	0.8481	60.98
579.15	27.20340	0.85690	22.35480	2.19955	0.0117	0.8472	61.85
580.80	27.37060	0.84470	22.43640	2.19767	0.0116	0.8470	62.54
582.45	27.53890	0.80386	22.52640	2.10641	0.0121	0.8460	63.11
584.10	27.70000	0.72666	22.62600	2.15342	0.0134	0.8459	62.35
585.75	27.84580	0.70711	22.81120	2.15106	0.0126	0.8453	62.86
587.40	28.00090	0.65748	22.91730	2.18136	0.0125	0.8452	63.49
589.05	28.15710	0.69443	22.99600	2.25892	0.0135	0.8450	65.70
590.70	28.30220	0.70392	23.01290	2.22695	0.0130	0.8444	64.81
592.35	28.45200	0.75093	23.20220	2.17334	0.0122	0.8430	64.28
594.00	28.61270	0.80311	23.37930	2.22172	0.0123	0.8429	65.51
595.65	28.77130	0.80775	23.43030	2.32626	0.0136	0.8424	65.19
597.30	28.91510	0.74906	23.59860	2.32765	0.0139	0.8421	62.66
598.95	29.05590	0.76769	23.92180	2.34883	0.0133	0.8415	62.34
600.60	29.20370	0.87472	24.10350	2.38098	0.0132	0.8413	62.68
602.25	29.35250	0.83640	24.23350	2.22302	0.0138	0.8410	61.90
603.90	29.49490	0.80059	24.45440	2.33799	0.0142	0.8404	61.79
605.55	29.63320	0.85488	24.62410	2.34400	0.0147	0.8395	59.60
607.20	29.76710	0.90787	24.96640	2.30095	0.0143	0.8385	59.69
608.85	29.90460	0.85948	25.13110	2.33383	0.0140	0.8380	59.87
610.50	30.04540	0.85630	25.28580	2.32723	0.0145	0.8377	59.67
612.15	30.18140	0.92957	25.46990	2.40729	0.0134	0.8368	59.04
613.80	30.32880	0.96137	25.70630	2.36669	0.0127	0.8360	58.94
615.45	30.48440	0.98169	25.89010	2.41042	0.0129	0.8358	59.41
617.10	30.63800	0.94013	26.01830	2.37542	0.0132	0.8356	58.99
618.75	30.78810	0.86551	26.22310	2.39018	0.0131	0.8349	59.31
620.40	30.93880	0.88342	26.36490	2.45181	0.0129	0.8341	59.15
622.05	31.09220	0.88117	26.54930	2.38170	0.0131	0.8334	58.64
623.70	31.24340	0.88171	26.76460	2.39688	0.0137	0.8325	59.12
625.35	31.38820	0.91616	26.89690	2.41747	0.0130	0.8314	59.10
627.00	31.54040	0.89364	27.07210	2.38643	0.0124	0.8316	58.95
628.65	31.70100	0.88336	27.25180	2.39606	0.0126	0.8313	59.12
630.30	31.85900	0.87994	27.40710	2.27801	0.0128	0.8305	59.24
631.95	32.01450	0.88102	27.56790	2.30910	0.0123	0.8302	60.73
633.60	32.17570	0.81631	27.61060	2.35013	0.0135	0.8298	62.57
635.25	32.32310	0.92376	27.62480	2.15818	0.0139	0.8296	60.16
636.90	32.46630	0.83916	27.92650	2.23490	0.0138	0.8293	62.64
638.55	32.61090	0.81856	27.96210	2.03328	0.0132	0.8278	61.21
640.20	32.76200	0.81788	28.20000	2.09585	0.0134	0.8267	61.11
641.85	32.91070	0.85174	28.35900	2.26641	0.0130	0.8263	61.54
643.50	33.06400	0.87327	28.48100	2.31302	0.0118	0.8252	62.86
645.15	33.23360	0.90553	28.50170	2.40247	0.0121	0.8252	65.36
646.80	33.39840	0.81603	28.54250	2.31269	0.0129	0.8233	64.36
648.45	33.55380	0.80228	28.75380	2.00490	0.0139	0.8225	63.09
650.10	33.69830	0.83208	28.99270	2.13471	0.0140	0.8225	64.10
651.75	33.84120	0.80671	29.06330	2.16791	0.0133	0.8225	64.82
653.40	33.99180	0.77018	29.15720	2.22709	0.0134	0.8214	65.78
655.05	34.14120	0.88174	29.24130	2.14841	0.0128	0.8190	65.95
656.70	34.29920	0.85651	29.38990	1.97859	0.0118	0.8196	63.57
658.35	34.46990	0.87734	29.69020	2.07379	0.0118	0.8189	64.46
660.00	34.64020	0.86457	29.76810	2.07014	0.0124	0.8181	63.06
661.65	34.80340	0.92554	30.00780	2.06813	0.0122	0.8172	60.97
663.30	34.96880	0.86893	30.30030	2.14150	0.0133	0.8162	61.21
664.95	35.12080	0.91028	30.44120	2.07255	0.0134	0.8156	61.45
666.60	35.27120	0.89789	30.58070	1.97105	0.0138	0.8145	61.28
668.25	35.41810	0.91251	30.75080	1.93237	0.0137	0.8135	61.08
669.90	35.56610	0.89824	30.92120	1.95671	0.0141	0.8135	61.43
671.55	35.71050	0.84835	31.04850	1.94995	0.0144	0.8132	62.35
673.20	35.85110	0.86506	31.13340	1.91278	0.0139	0.8124	60.59
674.85	35.99760	0.83195	31.41380	2.01899	0.0138	0.8117	60.14
676.50	36.14480	0.88932	31.60700	2.08062	0.0141	0.8110	61.21
678.15	36.28880	0.88524	31.68770	2.07238	0.0130	0.8097	61.26
679.80	36.44520	0.83623	31.84970	2.06704	0.0139	0.8081	61.58
681.45	36.59250	0.81009	31.98220	2.15878	0.0132	0.8075	63.77
683.10	36.74740	0.80634	31.98670	2.23765	0.0137	0.8070	65.79
684.75	36.89670	0.85126	31.98990	2.05499	0.0141	0.8065	63.76
686.40	37.04210	0.80032	32.29910	1.98375	0.0142	0.8062	63.70
688.05	37.18590	0.76621	32.44850	1.97875	0.0143	0.8059	63.63
689.70	37.32930	0.72311	32.59940	1.97367	0.0143	0.8051	61.12
691.35	37.47270	0.72811	32.93770	2.07930	0.0160	0.8037	60.01
693.00	37.60110	0.67257	33.19470	1.99354	0.0156	0.8018	61.16
694.65	37.73320	0.67628	33.27980	1.97864	0.0161	0.8006	62.76
696.30	37.86150	0.63276	33.32400	1.83102	0.0162	0.8005	63.26
697.95	37.98910	0.61280	33.44670	1.64197	0.0177	0.8003	62.50
699.60	38.10550	0.57610	33.65300	1.57983	0.0188	0.7998	62.02
701.25	38.21500	0.59130	33.83210	1.60217	0.0195	0.7994	61.02
702.90	38.32100	0.58037	34.05720	1.76997	0.0164	0.7990	59.60
704.55	38.44680	0.60993	34.32320	1.75310	0.0179	0.7983	59.49
706.20	38.56260	0.59860	34.50690	1.79646	0.0169	0.7973	61.05
707.85	38.68500	0.61051	34.55530	1.72422	0.0176	0.7963	60.81
709.50	38.80270	0.63322	34.70650	1.81936	0.0177	0.7958	63.43
711.15	38.91990	0.61765	34.74640	1.87667	0.0180	0.7950	64.40
712.80	39.03510	0.61141	34.79860	1.94159	0.0175	0.7944	64.41
714.45	39.15410	0.57702	34.96760	1.80351	0.0179	0.7937	64.09
716.10	39.27000	0.60805	35.14650	1.87040	0.0180	0.7930	64.82
717.75	39.38560	0.64535	35.24810	1.86571	0.0162	0.7925	63.93
719.40	39.51420	0.65003	35.46170	1.87475	0.0161	0.7917	64.19
721.05	39.64400	0.65782	35.59520	1.87973	0.0156	0.7910	64.60
722.70	39.77810	0.69103	35.71440	1.97355	0.0148	0.7902	64.08
724.35	39.91920	0.67400	35.89640	1.97598	0.0153	0.7896	63.28
726.00	40.05530	0.66369	36.10320	1.97151	0.0162	0.7889	64.35
727.65	40.18420	0.63643	36.17860	2.10037	0.0161	0.7883	63.30
729.30	40.31450	0.65302	36.40720	2.00261	0.0153	0.7876	64.34
730.95	40.45160	0.67204	36.48760	2.10655	0.0163	0.7868	64.85
732.60	40.58010	0.69042	36.60460	2.00647	0.0145	0.7860	64.55
734.25	40.72470	0.74537	36.78500	1.91061	0.0142	0.7855	63.51
735.90	40.87220	0.76767	37.00840	1.89209	0.0140	0.7850	64.00
737.55	41.02220	0.70570	37.12170	1.91110	0.0149	0.7843	65.20
739.20	41.16350	0.69898	37.18710	1.90521	0.0153	0.7832	65.28
740.85	41.30100	0.69956	37.33120	1.92689	0.0149	0.7827	65.74
742.50	41.44280	0.71372	37.44580	1.77429	0.0141	0.7819	65.14
744.15	41.59220	0.66831	37.61880	1.84804	0.0136	0.7811	67.13
745.80	41.74700	0.70773	37.63050	1.88594	0.0131	0.7797	67.94
747.45	41.90830	0.69646	37.71930	1.80312	0.0128	0.7793	66.55
749.10	42.07390	0.77463	37.93400	1.50092	0.0128	0.7793	64.07
750.75	42.23990	0.72578	38.18630	1.43610	0.0135	0.7786	63.93
752.40	42.39640	0.75059	38.30330	1.67850	0.0140	0.7774	64.63
754.05	42.54820	0.77194	38.39010	1.50399	0.0140	0.7763	64.62
755.70	42.70020	0.81658	38.51610	1.56731	0.0138	0.7759	65.45
757.35	42.85470	0.80868	38.58990	1.44486	0.0150	0.7756	64.15
759.00	42.99640	0.78548	38.78420	1.45147	0.0152	0.7751	65.89
760.65	43.13650	0.79232	38.80810	1.40149	0.0150	0.7746	65.12
762.30	43.27850	0.82764	38.96920	1.43644	0.0145	0.7742	64.47
763.95	43.42520	0.84389	39.12410	1.39353	0.0146	0.7737	63.58
765.60	43.57130	0.82654	39.29140	1.57424	0.0143	0.7729	63.66
767.25	43.72070	0.81045	39.40890	1.59374	0.0142	0.7721	62.50
768.90	43.87110	0.78365	39.61200	1.67532	0.0140	0.7715	64.33
770.55	44.02340	0.77370	39.63390	1.78352	0.0137	0.7710	65.22
772.20	44.17920	0.75005	39.71390	1.90908	0.0135	0.7705	65.75
773.85	44.33820	0.74832	39.81980	1.69040	0.0146	0.7697	63.83
775.50	44.48520	0.72394	40.08410	1.72187	0.0138	0.7691	65.65
777.15	44.64010	0.71729	40.10680	1.72231	0.0144	0.7688	62.84
778.80	44.78910	0.74093	40.41350	1.56796	0.0144	0.7677	62.73
780.45	44.93820	0.69691	40.55620	1.70939	0.0146	0.7668	62.73
782.10	45.08530	0.67032	40.70280	1.72503	0.0153	0.7659	64.21
783.75	45.22590	0.68006	40.75320	1.70957	0.0154	0.7655	64.66
785.40	45.36610	0.68109	40.87240	1.53775	0.0155	0.7649	63.92
787.05	45.50520	0.68232	41.07400	1.42776	0.0161	0.7646	62.97
788.70	45.63940	0.70397	41.27650	1.48690	0.0164	0.7642	62.37
790.35	45.77150	0.66218	41.45980	1.47042	0.0171	0.7638	61.22
792.00	45.89780	0.68301	41.69430	1.48680	0.0178	0.7633	60.80
793.65	46.01950	0.69857	41.88740	1.49031	0.0168	0.7626	60.66
795.30	46.14840	0.70391	42.06850	1.50632	0.0163	0.7620	62.02
796.95	46.28080	0.70393	42.13320	1.41479	0.0168	0.7609	62.30
798.60	46.40950	0.77094	42.28190	1.36135	0.0190	0.7598	61.77
800.25	46.52410	0.76078	42.48090	1.36590	0.0175	0.7589	61.32
801.90	46.64820	0.76366	42.66890	1.40896	0.0169	0.7580	61.36
803.55	46.77720	0.81503	42.82580	1.33451	0.0157	0.7570	62.01
805.20	46.91580	0.84306	42.93300	1.34516	0.0158	0.7559	61.60
806.85	47.05380	0.86754	43.10600	1.40618	0.0153	0.7549	59.74
808.50	47.19650	0.88325	43.37640	1.46504	0.0160	0.7541	60.70
810.15	47.33330	0.86464	43.46250	1.50826	0.0147	0.7535	59.46
811.80	47.48260	0.88494	43.69810	1.58016	0.0143	0.7527	60.42
813.45	47.63590	0.89649	43.78650	1.64552	0.0144	0.7520	59.23
815.10	47.78800	0.88711	44.02440	1.68062	0.0135	0.7511	59.52
816.75	47.95090	0.91878	44.16480	1.73892	0.0120	0.7500	59.71
818.40	48.13350	0.96476	44.31570	1.81808	0.0115	0.7491	61.96
820.05	48.32430	0.97030	44.31750	1.77846	0.0122	0.7487	61.65
821.70	48.50510	0.99957	44.48940	1.83224	0.0128	0.7482	63.56
823.35	48.67760	1.01857	44.51330	1.85487	0.0121	0.7477	64.48
825.00	48.86050	1.03283	44.60630	1.79212	0.0120	0.7472	64.76
826.65	49.04390	1.04740	44.74080	1.81526	0.0132	0.7466	65.62
828.30	49.21200	1.07216	44.83550	1.77711	0.0125	0.7458	65.11
829.95	49.38930	1.03870	45.02230	1.68488	0.0124	0.7448	64.74
831.60	49.56840	1.07862	45.19470	1.66433	0.0124	0.7437	64.61
833.25	49.74780	1.07598	45.34870	1.64446	0.0131	0.7430	64.66
834.90	49.91730	1.09962	45.48850	1.59092	0.0134	0.7426	65.01
836.55	50.08260	1.05801	45.60480	1.56476	0.0134	0.7418	65.61
838.20	50.24920	1.08007	45.70630	1.38766	0.0130	0.7409	63.13
839.85	50.42090	1.05993	45.97680	1.47026	0.0138	0.7402	62.09
841.50	50.58200	1.04273	46.16760	1.47275	0.0138	0.7394	62.60
843.15	50.74410	1.04240	46.26980	1.52050	0.0137	0.7386	64.97
844.80	50.90750	1.03049	46.27380	1.30611	0.0140	0.7378	63.45
846.45	51.06750	1.01713	46.48180	1.43724	0.0137	0.7373	61.98
848.10	51.23110	1.01191	46.68750	1.53806	0.0136	0.7368	61.76
849.75	51.39530	1.01941	46.83570	1.53999	0.0139	0.7360	62.14
851.40	51.55680	0.98539	46.95440	1.58162	0.0132	0.7352	62.24
853.05	51.72640	0.96044	47.09220	1.58904	0.0138	0.7344	63.45
854.70	51.88900	0.98296	47.16180	1.60322	0.0141	0.7337	61.95
856.35	52.04810	0.95439	47.40100	1.61776	0.0146	0.7331	61.72
858.00	52.20210	0.93067	47.57080	1.60063	0.0143	0.7326	62.18
859.65	52.35920	0.92527	47.69600	1.82436	0.0151	0.7319	60.32
861.30	52.50800	0.90256	47.99500	1.75613	0.0159	0.7314	58.31
862.95	52.64990	0.89131	48.35230	1.75472	0.0160	0.7307	58.81
864.60	52.79070	0.86100	48.49700	1.70497	0.0148	0.7300	60.02
866.25	52.94290	0.86646	48.58250	1.77880	0.0155	0.7292	59.92
867.90	53.08910	0.84019	48.77270	1.62980	0.0157	0.7287	58.58
869.55	53.23370	0.85013	49.06590	1.68846	0.0160	0.7285	58.20
871.20	53.37540	0.81499	49.26580	1.69296	0.0166	0.7282	59.27
872.85	53.51200	0.82077	49.36080	1.66704	0.0153	0.7279	57.91
874.50	53.65970	0.83128	49.64970	1.58124	0.0169	0.7277	58.03
876.15	53.79400	0.81712	49.81710	1.54286	0.0169	0.7275	58.06
877.80	53.92780	0.81378	49.98370	1.56040	0.0177	0.7270	59.41
879.45	54.05620	0.81356	50.05330	1.58474	0.0176	0.7268	59.80
881.10	54.18550	0.80997	50.19230	1.62774	0.0160	0.7263	59.60
882.75	54.32780	0.81686	50.38020	1.56213	0.0150	0.7258	58.86
884.40	54.47910	0.82873	50.60010	1.64430	0.0164	0.7259	60.97
886.05	54.61760	0.81821	50.61010	1.67327	0.0156	0.7258	60.35
887.70	54.76300	0.84448	50.81800	1.73096	0.0156	0.7254	61.51
889.35	54.90880	0.83916	50.90080	1.72579	0.0163	0.7247	60.51
891.00	55.04820	0.86634	51.13710	1.74994	0.0149	0.7240	60.81
892.65	55.20090	0.89536	51.28340	1.71843	0.0144	0.7233	60.26
894.30	55.35960	0.86776	51.48920	1.77887	0.0139	0.7227	60.16
895.95	55.52400	0.87822	51.66740	1.64728	0.0151	0.7221	59.19
897.60	55.67490	0.89965	51.90400	1.66178	0.0157	0.7218	59.87
899.25	55.82080	0.91031	52.01790	1.61280	0.0151	0.7211	59.92
900.90	55.97190	0.92754	52.17310	1.64292	0.0150	0.7205	60.02
902.55	56.12420	0.94649	52.32590	1.57451	0.0145	0.7200	59.62
904.20	56.28220	0.95181	52.50580	1.54959	0.0147	0.7193	60.58
905.85	56.43870	0.96969	52.59180	1.58493	0.0135	0.7188	61.77
907.50	56.60900	0.97730	52.66270	1.67674	0.0136	0.7179	60.41
909.15	56.77740	0.98870	52.89960	1.61080	0.0135	0.7172	59.96
910.80	56.94790	1.00293	53.08030	1.59862	0.0143	0.7171	60.48
912.45	57.10830	1.00872	53.19270	1.54165	0.0144	0.7170	60.18
